rank,repository,stars,forks,dependency_status,dependency_count
73,chef/chef,8233,2521,available,350
74,learn-co-curriculum/phase-4-rails-resources-index-show,4,2506,available,58
75,learn-co-curriculum/phase-4-cookies-and-sessions-lab,1,2500,unavailable:FetchError,0
76,learn-co-curriculum/phase-3-ruby-oo-self-cash-register-lab,2,2498,available,2
77,saasbook/hw-bdd-cucumber,16,2498,available,125
78,learn-co-curriculum/phase-4-rails-route-params-lab,2,2482,available,58
79,brentley/ecsdemo-frontend,91,2480,available,70
80,activemerchant/active_merchant,4600,2485,available,22
81,sidekiq/sidekiq,13554,2479,available,28
82,redmine/redmine,6025,2469,available,168
83,learn-co-curriculum/phase-3-active-record-intro-to-rake,1,2458,available,13
84,learn-co-curriculum/phase-3-active-record-associations-tvland-lab,2,2457,available,32
85,learn-co-curriculum/phase-3-ruby-oo-inheritance-inheritance-lab,4,2457,available,2
86,learn-co-curriculum/phase-4-authenticating-users-lab,1,2454,unavailable:FetchError,0
87,learn-co-curriculum/phase-3-ruby-oo-self-count-sentences-lab,1,2450,available,2
88,learn-co-curriculum/phase-3-active-record-crud-operations-lab,1,2432,available,32
89,learn-co-curriculum/phase-4-rails-resources-create,3,2424,available,58
90,learn-co-curriculum/phase-3-sql-organizing-bears-lab,0,2421,available,12
91,thoughtbot/paperclip,9015,2410,available,32
92,learn-co-curriculum/phase-4-rails-route-params-readme,3,2388,available,59
93,learn-co-curriculum/phase-4-displaying-associated-data-lab,1,2362,unavailable:FetchError,0
94,progit/progit,5977,2360,available,3
95,learn-co-curriculum/phase-4-active-model-serializer-lab,2,2346,unavailable:FetchError,0
96,learn-co-curriculum/phase-3-active-record-associations-many-to-many,0,2346,available,33
97,learn-co-curriculum/phase-4-rails-strong-params,1,2342,available,58
98,sclorg/ruby-ex,31,2333,available,3
99,learn-co-students/hello-world-ruby-ruby-intro-000,1,2316,unavailable:FetchError,0
100,learn-co-curriculum/phase-4-active-record-validations-lab,1,2319,available,58
