registry,package,downloads,latest_version,version_count,stable_version_count,first_release,latest_release,github_url,registry_url,doc_site_url,readme_file,has_readme,docs_folder_count,docs_folder_files,error
rubygems,backburner,2443006.0,1.7.0,33,32,2012-07-26,2026-01-02,https://github.com/nesquena/backburner,https://rubygems.org/gems/backburner,http://rdoc.info/github/nesquena/backburner/master/frames,README.md,Yes,0,,
rubygems,activerecord-mysql-index-hint,2404798.0,0.0.4,4,4,2013-11-28,2016-04-30,https://github.com/mirakui/activerecord-mysql-index-hint,https://rubygems.org/gems/activerecord-mysql-index-hint,https://github.com/mirakui/activerecord-mysql-index-hint,README.md,Yes,0,,
rubygems,fast-mcp,2395497.0,1.6.0,10,10,2025-03-23,2025-09-28,https://github.com/yjacquin/fast_mcp,https://rubygems.org/gems/fast-mcp,https://rubydoc.info/gems/fast-mcp,README.md,Yes,0,,
rubygems,omniauth-identity,2372453.0,3.2.1,26,22,2011-11-02,2026-07-15,https://github.com/omniauth/omniauth-identity,https://rubygems.org/gems/omniauth-identity,https://omniauth-identity.galtzo.com,README.md,Yes,0,,
rubygems,rbpdf,2368581.0,1.21.4,24,24,2014-08-17,2025-05-06,https://github.com/naitoh/rbpdf,https://rubygems.org/gems/rbpdf,https://www.rubydoc.info/gems/rbpdf/1.21.4,README.md,Yes,0,,
rubygems,google-cloud-dialogflow-v2,2356693.0,1.17.1,81,81,2020-03-18,2026-08-05,https://github.com/googleapis/google-cloud-ruby,https://rubygems.org/gems/google-cloud-dialogflow-v2,https://www.rubydoc.info/gems/google-cloud-dialogflow-v2/1.17.1,README.md,Yes,0,,
rubygems,private_address_check,2349502.0,0.8.0,9,9,2016-07-21,2026-05-21,https://github.com/jtdowney/private_address_check,https://rubygems.org/gems/private_address_check,https://github.com/jtdowney/private_address_check,README.md,Yes,0,,
rubygems,aws-actionmailer-ses,2331247.0,1.2.0,4,4,2024-11-16,2026-05-21,https://github.com/aws/aws-actionmailer-ses-ruby,https://rubygems.org/gems/aws-actionmailer-ses,https://docs.aws.amazon.com/sdk-for-ruby/aws-actionmailer-ses/api/,,No,0,,
rubygems,capybara-playwright-driver,2282375.0,0.5.10,24,23,2021-05-24,2026-07-05,https://github.com/yusukeiwaki/capybara-playwright-driver,https://rubygems.org/gems/capybara-playwright-driver,https://www.rubydoc.info/gems/capybara-playwright-driver/0.5.10,README.md,Yes,0,,
rubygems,falcon,2253372.0,0.57.0,175,175,2011-05-18,2026-08-09,https://github.com/socketry/falcon,https://rubygems.org/gems/falcon,https://socketry.github.io/falcon/,readme.md,Yes,0,,
rubygems,activerecord-jdbcsqlite3-adapter,2246404.0,72.1,104,95,2009-07-25,2025-09-26,https://github.com/jruby/activerecord-jdbc-adapter,https://rubygems.org/gems/activerecord-jdbcsqlite3-adapter,https://github.com/jruby/activerecord-jdbc-adapter/wiki,,No,0,,
rubygems,rice,2226283.0,4.12.0,56,55,2009-07-25,2026-04-20,https://github.com/jasonroelofs/rice,https://rubygems.org/gems/rice,https://ruby-rice.github.io,README.md,Yes,6,lib/rice/doc/config.rb; lib/rice/doc/cpp_reference.rb; lib/rice/doc/doxygen.rb; lib/rice/doc/mkdocs.rb; lib/rice/doc/rice.rb; lib/rice/doc/ruby.rb,
rubygems,curses,2224971.0,1.7.0,62,61,2013-12-10,2026-08-24,https://github.com/ruby/curses,https://rubygems.org/gems/curses,https://ruby.github.io/curses/,README.md,Yes,7,vendor/PDCursesMod/docs/HISTORY.md; vendor/PDCursesMod/docs/IMPLEMNT.md; vendor/PDCursesMod/docs/MANUAL.md; vendor/PDCursesMod/docs/README.md; vendor/PDCursesMod/docs/USERS.md; vendor/PDCursesMod/docs/manext.awk; vendor/PDCursesMod/docs/mkman.sh,
rubygems,procore-sift,2222769.0,1.2.1,8,8,2019-06-20,2026-08-10,https://github.com/procore/sift,https://rubygems.org/gems/procore-sift,https://www.rubydoc.info/gems/procore-sift/1.2.1,README.md,Yes,0,,
rubygems,facebook-messenger,2212150.0,2.1.2,28,28,2016-04-15,2025-12-19,https://github.com/hyperoslo/facebook-messenger,https://rubygems.org/gems/facebook-messenger,https://www.rubydoc.info/gems/facebook-messenger/2.1.2,README.md,Yes,0,,
rubygems,carrierwave_direct,2173916.0,3.0.0,21,21,2011-09-08,2021-06-14,https://github.com/dwilkie/carrierwave_direct,https://rubygems.org/gems/carrierwave_direct,https://www.rubydoc.info/gems/carrierwave_direct/3.0.0,README.md,Yes,0,,
rubygems,rack-host-redirect,2147322.0,1.3.0,7,7,2013-06-10,2017-04-04,https://github.com/gbuesing/rack-host-redirect,https://rubygems.org/gems/rack-host-redirect,https://github.com/gbuesing/rack-host-redirect/wiki,,No,0,,
rubygems,hrr_rb_ssh,2126503.0,0.4.2,24,18,2018-04-01,2020-01-20,https://github.com/hirura/hrr_rb_ssh,https://rubygems.org/gems/hrr_rb_ssh,https://www.rubydoc.info/gems/hrr_rb_ssh/0.4.2,README.md,Yes,0,,
rubygems,csl-styles,2114470.0,2.0.2,15,15,2012-09-05,2025-11-12,https://github.com/inukshuk/csl-styles,https://rubygems.org/gems/csl-styles,https://github.com/inukshuk/csl-styles,README.md,Yes,0,,
rubygems,color_diff,2102987.0,0.2,2,2,2017-06-15,2025-12-19,https://github.com/hansondr/color_diff,https://rubygems.org/gems/color_diff,https://www.rubydoc.info/gems/color_diff/0.2,README.md,Yes,0,,
rubygems,citeproc,2092490.0,1.1.0,30,18,2011-08-03,2025-01-18,https://github.com/inukshuk/citeproc,https://rubygems.org/gems/citeproc,https://www.rubydoc.info/gems/citeproc/1.1.0,README.md,Yes,0,,
