package,version,released,platform,prerelease
bundler,1.7.0,2014-08-14,ruby,False
bundler,1.6.9,2014-11-12,ruby,False
bundler,1.6.8,2014-11-11,ruby,False
bundler,1.6.7,2014-10-20,ruby,False
bundler,1.6.6,2014-08-24,ruby,False
bundler,1.6.5,2014-07-24,ruby,False
bundler,1.6.4,2014-07-18,ruby,False
bundler,1.6.3,2014-06-16,ruby,False
bundler,1.6.2,2014-04-14,ruby,False
bundler,1.6.1,2014-04-02,ruby,False
bundler,1.6.0,2014-03-28,ruby,False
bundler,1.6.0.rc2,2014-03-09,ruby,True
bundler,1.6.0.rc,2014-02-17,ruby,True
bundler,1.6.0.pre.2,2014-02-07,ruby,True
bundler,1.6.0.pre.1,2014-01-13,ruby,True
bundler,1.5.3,2014-02-06,ruby,False
bundler,1.5.2,2014-01-11,ruby,False
bundler,1.5.1,2013-12-28,ruby,False
bundler,1.5.0,2013-12-26,ruby,False
bundler,1.5.0.rc.2,2013-12-19,ruby,True
bundler,1.5.0.rc.1,2013-11-10,ruby,True
bundler,1.4.0.rc.1,2013-09-30,ruby,True
bundler,1.4.0.pre.2,2013-08-27,ruby,True
bundler,1.4.0.pre.1,2013-08-05,ruby,True
bundler,1.3.6,2014-01-09,ruby,False
bundler,1.3.5,2013-04-04,ruby,False
bundler,1.3.4,2013-03-15,ruby,False
bundler,1.3.3,2013-03-13,ruby,False
bundler,1.3.2,2013-03-07,ruby,False
bundler,1.3.1,2013-03-03,ruby,False
bundler,1.3.0,2013-02-25,ruby,False
bundler,1.3.0.pre.8,2013-02-14,ruby,True
bundler,1.3.0.pre.7,2013-01-22,ruby,True
bundler,1.3.0.pre.6,2013-01-22,ruby,True
bundler,1.3.0.pre.5,2013-01-10,ruby,True
bundler,1.3.0.pre.4,2013-01-04,ruby,True
bundler,1.3.0.pre.3,2012-12-21,ruby,True
bundler,1.3.0.pre.2,2012-12-10,ruby,True
bundler,1.3.0.pre,2012-12-01,ruby,True
bundler,1.2.5,2013-02-25,ruby,False
bundler,1.2.4,2013-02-14,ruby,False
bundler,1.2.3,2012-11-30,ruby,False
bundler,1.2.2,2012-11-15,ruby,False
bundler,1.2.1,2012-09-19,ruby,False
bundler,1.2.0,2012-08-30,ruby,False
bundler,1.2.0.rc.2,2012-08-09,ruby,True
bundler,1.2.0.rc,2012-07-18,ruby,True
bundler,1.2.0.pre.1,2012-05-28,ruby,True
bundler,1.2.0.pre,2012-05-04,ruby,True
bundler,1.1.5,2012-07-17,ruby,False
bundler,1.1.4,2012-05-28,ruby,False
bundler,1.1.3,2012-03-24,ruby,False
bundler,1.1.2,2012-03-21,ruby,False
bundler,1.1.1,2012-03-14,ruby,False
bundler,1.1.0,2012-03-07,ruby,False
bundler,1.1.rc.8,2012-03-03,ruby,True
bundler,1.1.rc.7,2011-12-29,ruby,True
bundler,1.1.rc.6,2011-12-23,ruby,True
bundler,1.1.rc.5,2011-12-14,ruby,True
bundler,1.1.rc.3,2011-12-09,ruby,True
bundler,1.1.rc.2,2011-12-07,ruby,True
bundler,1.1.rc,2011-10-04,ruby,True
bundler,1.1.pre.10,2011-09-27,ruby,True
bundler,1.1.pre.9,2011-09-19,ruby,True
bundler,1.1.pre.8,2011-08-15,ruby,True
bundler,1.1.pre.7,2011-08-08,ruby,True
bundler,1.1.pre.5,2011-06-12,ruby,True
bundler,1.1.pre.4,2011-05-05,ruby,True
bundler,1.1.pre.3,2011-05-04,ruby,True
bundler,1.1.pre.2,2011-04-29,ruby,True
bundler,1.1.pre.1,2011-02-03,ruby,True
bundler,1.1.pre,2011-01-21,ruby,True
bundler,1.0.22,2012-02-08,ruby,False
bundler,1.0.21,2011-09-30,ruby,False
bundler,1.0.21.rc,2011-09-30,ruby,True
bundler,1.0.20,2011-09-28,ruby,False
bundler,1.0.20.rc,2011-09-19,ruby,True
bundler,1.0.19.rc,2011-09-13,ruby,True
bundler,1.0.18,2011-08-16,ruby,False
bundler,1.0.17,2011-08-08,ruby,False
bundler,1.0.15,2011-06-09,ruby,False
bundler,1.0.14,2011-05-27,ruby,False
bundler,1.0.13,2011-05-04,ruby,False
bundler,1.0.12,2011-04-08,ruby,False
bundler,1.0.11,2011-04-01,ruby,False
bundler,1.0.10,2011-02-01,ruby,False
bundler,1.0.9,2011-01-19,ruby,False
bundler,1.0.7,2010-11-18,ruby,False
bundler,1.0.5,2010-11-13,ruby,False
