gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
image_processing,2.1.0,122864376,83.8,62,74,True,README.md,6344,True,True,0,3,,,False,https://github.com/janko/image_processing,https://github.com/janko/image_processing/blob/master/CHANGELOG.md,,,,https://github.com/janko/image_processing
rubydex,0.4.1,1328589,83.8,197,235,True,README.md,7032,False,True,0,3,,,False,https://github.com/Shopify/rubydex,https://github.com/Shopify/rubydex/releases,,,,https://github.com/shopify/rubydex
commander,6.0.0,145929014,83.8,83,99,True,README.md,11614,True,True,0,2,https://www.rubydoc.info/gems/commander/6.0.0,rubydoc.info,True,https://github.com/commander-rb/commander,https://github.com/commander-rb/commander/blob/master/History.rdoc,,https://github.com/commander-rb/commander/tree/v6.0.0,https://github.com/commander-rb/commander/issues,https://github.com/commander-rb/commander
aws-sdk-auditmanager,1.85.0,42100725,83.7,77,92,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-auditmanager/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-auditmanager,,https://github.com/aws/aws-sdk-ruby
lumberjack,2.1.0,153221799,83.6,332,397,True,README.md,34031,True,False,0,5,,,False,https://github.com/bdurand/lumberjack,https://github.com/bdurand/lumberjack/blob/main/CHANGELOG.md,,,,https://github.com/bdurand/lumberjack
aws-sdk-macie2,1.105.0,49634953,83.6,97,116,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-macie2/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-macie2,,https://github.com/aws/aws-sdk-ruby
jenkins_api_client,2.3.0,12503713,83.6,194,232,False,,0,False,False,0,0,https://www.rubydoc.info/gems/jenkins_api_client/2.3.0,rubydoc.info,True,https://github.com/arangamani/jenkins_api_client,,,,https://github.com/arangamani/jenkins_api_client/issues,https://github.com/arangamani/jenkins_api_client
cgi,0.5.2,77149042,83.6,92,110,True,README.md,2428,False,True,0,1,,,False,https://github.com/ruby/cgi,https://github.com/ruby/cgi/releases,,,,https://github.com/ruby/cgi
aws-sdk-directconnect,1.115.0,88903739,83.5,71,85,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-directconnect/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-directconnect,,https://github.com/aws/aws-sdk-ruby
aws-sdk-sesv2,1.107.0,66029219,83.4,121,145,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-sesv2/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-sesv2,,https://github.com/aws/aws-sdk-ruby
fastercsv,1.5.5,18084310,83.3,70,84,True,README,3027,True,True,0,0,,,False,http://fastercsv.rubyforge.org,,,,,
aws-sdk-resiliencehub,1.68.0,31022014,83.3,80,96,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-resiliencehub/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-resiliencehub,,https://github.com/aws/aws-sdk-ruby
hexapdf,1.10.0,13579357,83.3,1747,2098,True,README.md,8710,True,True,0,8,http://hexapdf.gettalong.org/,hexapdf.gettalong.org,False,https://hexapdf.gettalong.org,,https://github.com/gettalong/hexapdf/wiki,https://github.com/gettalong/hexapdf,https://github.com/gettalong/hexapdf/issues,https://github.com/gettalong/hexapdf
premailer,1.30.0,125880917,83.3,40,48,True,README.md,6944,False,True,0,2,https://premailer.github.io/premailer/,premailer.github.io,False,https://github.com/premailer/premailer,,,,https://github.com/premailer/premailer/issues,https://github.com/premailer/premailer
discordrb-webhooks,3.8.0,30349542,83.2,79,95,False,,0,False,False,0,0,https://www.rubydoc.info/gems/discordrb-webhooks/3.8.0,rubydoc.info,True,https://github.com/shardlab/discordrb,,,,,https://github.com/shardlab/discordrb
karafka-web,1.0.1,13260906,83.2,724,870,True,README.md,2677,True,True,0,3,https://karafka.io/docs,karafka.io,False,https://karafka.io,https://karafka.io/docs/Changelog-Karafka-Web-UI,,https://github.com/karafka/karafka-web,https://github.com/karafka/karafka-web/issues,https://github.com/karafka/karafka-web
aws-sdk-personalize,1.101.0,62519902,83.2,84,101,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-personalize/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-personalize,,https://github.com/aws/aws-sdk-ruby
aws-sdk-forecastservice,1.89.0,58952791,83.1,74,89,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-forecastservice/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-forecastservice,,https://github.com/aws/aws-sdk-ruby
markly,0.18.1,321431,83.1,59,71,True,readme.md,5340,False,True,0,7,https://socketry.github.io/markly/,socketry.github.io,False,https://github.com/socketry/markly,,,https://github.com/socketry/markly.git,,https://github.com/socketry/markly
