gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
json_expressions,0.9.0,7777199,https://github.com/chancancode/json_expressions#readme,rubygems:custom_doc_site,0.0,0.0,42.0,True,0,https://github.com/chancancode/json_expressions#readme,github.com,False,,,,,,https://github.com/chancancode/json_expressions,,,https://github.com/chancancode/json_expressions
io-endpoint,0.18.0,7765738,https://socketry.github.io/io-endpoint,rubygems:custom_doc_site,82.8,101.0,122.0,True,0,https://socketry.github.io/io-endpoint,socketry.github.io,False,,,,,,https://github.com/socketry/io-endpoint,https://github.com/socketry/io-endpoint/blob/main/releases.md,,https://github.com/socketry/io-endpoint
neat,4.0.0,7706101,https://github.com/thoughtbot/neat#getting-started,rubygems:custom_doc_site,0.0,0.0,13.0,True,0,https://github.com/thoughtbot/neat#getting-started,github.com,False,,,,,,http://neat.bourbon.io,,,https://github.com/thoughtbot/neat
appium_lib,16.3.0,7677572,https://github.com/appium/ruby_lib/tree/master/docs,rubygems:custom_doc_site,80.3,248.0,309.0,True,5,https://github.com/appium/ruby_lib/tree/master/docs,github.com,False,,,,,,https://github.com/appium/ruby_lib,,,https://github.com/appium/ruby_lib
google-cloud-trace,0.46.0,7595664,http://googlecloudplatform.github.io/google-cloud-ruby/#/docs/google-cloud-trace/latest,rubygems:custom_doc_site,84.6,121.0,143.0,False,0,http://googlecloudplatform.github.io/google-cloud-ruby/#/docs/google-cloud-trace/latest,googlecloudplatform.github.io,False,,,,,,https://github.com/googleapis/google-cloud-ruby/tree/master/google-cloud-trace,,,https://github.com/googleapis/google-cloud-ruby
ruby-filemagic,0.7.3,7582866,http://blackwinter.github.com/ruby-filemagic,rubygems:custom_doc_site,17.4,4.0,23.0,True,0,http://blackwinter.github.com/ruby-filemagic,blackwinter.github.com,False,,,,,,http://github.com/blackwinter/ruby-filemagic,,http://github.com/blackwinter/ruby-filemagic/wiki,https://github.com/blackwinter/ruby-filemagic
ruby-lsp-rails,0.4.8,7471916,https://shopify.github.io/ruby-lsp/rails-add-on.html,rubygems:custom_doc_site,93.7,149.0,159.0,True,0,https://shopify.github.io/ruby-lsp/rails-add-on.html,shopify.github.io,False,,,,,,https://github.com/Shopify/ruby-lsp-rails,https://github.com/Shopify/ruby-lsp-rails/releases,,https://github.com/shopify/ruby-lsp-rails
anycable-rails,1.6.2,7470007,https://docs.anycable.io/#/using_with_rails,rubygems:custom_doc_site,,0.0,0.0,True,0,https://docs.anycable.io/#/using_with_rails,docs.anycable.io,False,,,,,,https://anycable.io/,https://github.com/anycable/anycable-rails/blob/master/CHANGELOG.md,,https://github.com/anycable/anycable-rails
allure-cucumber,2.29.1,7424078,https://github.com/allure-framework/allure-ruby/blob/master/allure-cucumber/README.md,rubygems:custom_doc_site,88.6,62.0,70.0,True,0,https://github.com/allure-framework/allure-ruby/blob/master/allure-cucumber/README.md,github.com,False,,,,,,https://github.com/allure-framework/allure-ruby,https://github.com/allure-framework/allure-ruby/releases,https://github.com/allure-framework/allure-ruby/wiki,https://github.com/9ikhan/allure-cucumber
io-stream,0.14.0,7395561,https://socketry.github.io/io-stream/,rubygems:custom_doc_site,77.5,62.0,80.0,True,0,https://socketry.github.io/io-stream/,socketry.github.io,False,,,,,,https://github.com/socketry/io-stream,,,https://github.com/socketry/io-stream
