gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
aws-sdk-sts,1.12.0,14418150,https://aws.amazon.com/sdk-for-ruby/,github:homepage,,0.0,0.0,False,0,,,False,,,False,False,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-sts/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
dependabot-dotnet_sdk,0.395.0,13682989,https://docs.github.com/en/code-security/dependabot,github:homepage,0.0,0.0,49.0,False,0,,,False,,,False,False,https://docs.github.com/en/code-security/dependabot,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,https://github.com/dependabot/dependabot-core
dependabot-uv,0.395.0,13659693,https://docs.github.com/en/code-security/dependabot,github:homepage,0.0,0.0,395.0,False,0,,,False,,,False,False,https://docs.github.com/en/code-security/dependabot,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,https://github.com/dependabot/dependabot-core
dependabot-docker_compose,0.395.0,13659277,https://docs.github.com/en/code-security/dependabot,github:homepage,0.0,0.0,25.0,False,0,,,False,,,False,False,https://docs.github.com/en/code-security/dependabot,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,https://github.com/dependabot/dependabot-core
dependabot-helm,0.395.0,13654464,https://docs.github.com/en/code-security/dependabot,github:homepage,0.0,0.0,154.0,False,0,,,False,,,False,False,https://docs.github.com/en/code-security/dependabot,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,https://github.com/dependabot/dependabot-core
manticore,0.9.2,13543879,https://github.com/cheald/manticore/wiki,github:wiki,,,,False,0,https://www.rubydoc.info/gems/manticore/0.9.2,rubydoc.info,True,,,True,False,https://gitlab.com/cheald/manticore,https://github.com/cheald/manticore,,,https://github.com/cheald/manticore
sorbet-coerce,0.7.0,12491967,https://github.com/chanzuckerberg/sorbet-coerce/wiki,github:wiki,0.0,0.0,12.0,False,0,https://www.rubydoc.info/gems/sorbet-coerce/0.7.0,rubydoc.info,True,,,True,False,https://rubygems.org/gems/sorbet-coerce,https://github.com/chanzuckerberg/sorbet-coerce,,,https://github.com/chanzuckerberg/sorbet-coerce
api-pagination,7.1.0,12367634,https://github.com/davidcelis/api-pagination/wiki,github:wiki,0.0,0.0,34.0,False,0,https://www.rubydoc.info/gems/api-pagination/7.1.0,rubydoc.info,True,,,True,False,,https://github.com/davidcelis/api-pagination,,,https://github.com/davidcelis/api-pagination
jar-dependencies,0.6.0,10742961,https://github.com/jruby/jar-dependencies/wiki,github:wiki,,,,False,0,https://www.rubydoc.info/gems/jar-dependencies/0.5.7,rubydoc.info,True,,,True,False,,https://github.com/jruby/jar-dependencies,,,https://github.com/jruby/jar-dependencies
aws-sdk-sso,1.13.0,10544230,https://aws.amazon.com/sdk-for-ruby/,github:homepage,,0.0,0.0,False,0,,,False,,,False,False,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-sso/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
minitest-stub_any_instance,1.0.3,10298952,https://github.com/codeodor/minitest-stub_any_instance/wiki,github:wiki,0.0,0.0,1.0,False,0,https://www.rubydoc.info/gems/minitest-stub_any_instance/1.0.3,rubydoc.info,True,,,True,False,,https://github.com/codeodor/minitest-stub_any_instance,,,https://github.com/codeodor/minitest-stub_any_instance
