package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
logstash-output-sqs,6.0.0,79952762,hand-written site; tool-generated; readme; docs folder; homepage,3,http://www.elastic.co/guide/en/logstash/current/index.html,https://www.rubydoc.info/gems/logstash-output-sqs/6.0.0,README.md,Yes,docs/index.asciidoc,,,,,,http://www.elastic.co/guide/en/logstash/current/index.html,,https://rubygems.org/gems/logstash-output-sqs,0.0
aws-sdk-codestar,1.59.0,79651056,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-codestar,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-codestar/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-codestar,37.7
attr_encrypted,4.2.0,79563395,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/attr_encrypted/4.2.0,README.md,,,,https://github.com/attr-encrypted/attr_encrypted,,https://github.com/attr-encrypted/attr_encrypted/wiki,,http://github.com/attr-encrypted/attr_encrypted,,https://rubygems.org/gems/attr_encrypted,42.4
aws-sdk-mediatailor,1.127.0,79524789,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-mediatailor,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-mediatailor/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-mediatailor,84.4
aws-sdk-iotanalytics,1.93.0,78870849,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-iotanalytics,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-iotanalytics/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-iotanalytics,75.0
aws-sdk-pi,1.98.0,78856825,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-pi,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-pi/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-pi,64.7
aws-sdk-alexaforbusiness,1.71.0,78820288,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-alexaforbusiness,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-alexaforbusiness/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-alexaforbusiness,49.8
socksify,1.8.1,78804071,tool-generated; docs folder; github wiki; homepage,3,,https://rubydoc.info/gems/socksify,,Yes,doc/index.css; doc/index.html,,https://github.com/astro/socksify-ruby,,https://github.com/astro/socksify-ruby/wiki,,https://github.com/astro/socksify-ruby,,https://rubygems.org/gems/socksify,4.2
aws-sdk-dlm,1.105.0,78740078,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-dlm,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-dlm/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-dlm,66.7
rspec-parameterized,2.0.1,78710268,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/rspec-parameterized/2.0.1,README.md,,,,https://github.com/tomykaira/rspec-parameterized,,https://github.com/tomykaira/rspec-parameterized/wiki,,https://github.com/tomykaira/rspec-parameterized,,https://rubygems.org/gems/rspec-parameterized,
aws-sdk-mobile,1.55.0,78584515,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-mobile,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-mobile/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-mobile,51.0
gapic-common,1.3.0,78427199,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/gapic-common/1.3.0,README.md,,,,https://github.com/googleapis/ruby-core-libraries,,https://github.com/googleapis/ruby-core-libraries/wiki,,https://github.com/googleapis/ruby-core-libraries,,https://rubygems.org/gems/gapic-common,73.6
proc_to_ast,0.2.0,78388290,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/proc_to_ast/0.2.0,README.md,,,,https://github.com/joker1007/proc_to_ast,,https://github.com/joker1007/proc_to_ast/wiki,,https://github.com/joker1007/proc_to_ast,,https://rubygems.org/gems/proc_to_ast,33.3
amq-protocol,2.9.0,78295830,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/amq-protocol/2.9.0,README.md,,,,https://github.com/ruby-amqp/amq-protocol,,https://github.com/ruby-amqp/amq-protocol/wiki,,https://github.com/ruby-amqp/amq-protocol,,https://rubygems.org/gems/amq-protocol,40.6
phonelib,0.10.27,78061303,tool-generated; readme; github wiki; homepage,4,,https://rubydoc.info/gems/phonelib,README.md,,,,https://github.com/daddyz/phonelib,,https://github.com/daddyz/phonelib/wiki,,https://github.com/daddyz/phonelib,https://github.com/daddyz/phonelib/releases/tag/v0.10.27,https://rubygems.org/gems/phonelib,65.5
hana,1.3.7,78047224,readme; github wiki; homepage,2,,,README.md,,,,https://github.com/tenderlove/hana,,https://github.com/tenderlove/hana/wiki,,http://github.com/tenderlove/hana,,https://rubygems.org/gems/hana,0.0
dry-equalizer,0.3.0,77630489,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/dry-equalizer/0.3.0,README.md,,,,https://github.com/dry-rb/dry-equalizer,,https://github.com/dry-rb/dry-equalizer/wiki,,https://github.com/dry-rb/dry-equalizer,,https://rubygems.org/gems/dry-equalizer,66.7
ruby_dep,1.5.0,77371070,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/ruby_dep/1.5.0,README.md,,,,https://github.com/e2/ruby_dep,,https://github.com/e2/ruby_dep/wiki,,https://github.com/e2/ruby_dep,,https://rubygems.org/gems/ruby_dep,0.0
aws-sdk-kafka,1.119.0,77249376,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-kafka,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-kafka/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-kafka,79.8
aws-sdk-s3control,1.134.0,77189232,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-s3control,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-s3control/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-s3control,47.2
cgi,0.5.2,77149042,tool-generated; readme; github wiki; homepage,4,,https://rubydoc.info/gems/cgi,README.md,,,,https://github.com/ruby/cgi,,https://github.com/ruby/cgi/wiki,,https://github.com/ruby/cgi,https://github.com/ruby/cgi/releases,https://rubygems.org/gems/cgi,83.6
aws-sdk-transfer,1.143.0,77123508,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-transfer,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-transfer/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-transfer,81.6
aws-sigv2,1.3.1,77116753,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sigv2,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sigv2/CHANGELOG.md,https://rubygems.org/gems/aws-sigv2,57.1
bunny,3.3.0,76951212,hand-written site; tool-generated; readme; github wiki; homepage,5,http://rubybunny.info,https://rubydoc.info/gems/bunny,README.md,,,,https://github.com/ruby-amqp/bunny,,https://github.com/ruby-amqp/bunny/wiki,,http://rubybunny.info,https://github.com/ruby-amqp/bunny/blob/main/ChangeLog.md,https://rubygems.org/gems/bunny,73.1
elasticsearch-model,8.0.1,76753123,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/elasticsearch-model/8.0.1,README.md,,,,https://github.com/elasticsearch/elasticsearch-rails,,https://github.com/elasticsearch/elasticsearch-rails/wiki,,https://github.com/elasticsearch/elasticsearch-rails/,,https://rubygems.org/gems/elasticsearch-model,56.6
aws-sdk-quicksight,1.196.0,76626835,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-quicksight,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-quicksight/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-quicksight,91.7
json_schemer,2.5.0,76621999,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/json_schemer/2.5.0,README.md,,,,https://github.com/davishmcclurg/json_schemer,,https://github.com/davishmcclurg/json_schemer/wiki,,https://github.com/davishmcclurg/json_schemer,,https://rubygems.org/gems/json_schemer,0.0
