package,version,documentation,doc_coverage_pct,obtainable_by_download,download_url,size_kb
ansi,1.6.0,in the package,50.6,Yes,https://rubygems.org/downloads/ansi-1.6.0.gem,35.0
anthropic,1.69.0,in the package,76.9,Yes,https://rubygems.org/downloads/anthropic-1.69.0.gem,1180.5
anycable,1.6.4,in the package,,Yes,https://rubygems.org/downloads/anycable-1.6.4.gem,8.5
anycable-core,1.6.4,in the package,11.0,Yes,https://rubygems.org/downloads/anycable-core-1.6.4.gem,36.0
anycable-rails,1.6.2,in the package,,Yes,https://rubygems.org/downloads/anycable-rails-1.6.2.gem,9.0
anycable-rails-core,1.6.2,in the package,8.4,Yes,https://rubygems.org/downloads/anycable-rails-core-1.6.2.gem,32.5
anyway_config,2.8.1,in the package,1.4,Yes,https://rubygems.org/downloads/anyway_config-2.8.1.gem,53.0
apnotic,1.8.0,in the package,0.0,Yes,https://rubygems.org/downloads/apnotic-1.8.0.gem,15.5
apollo_upload_server,2.1.8,in the package,0.0,Yes,https://rubygems.org/downloads/apollo_upload_server-2.1.8.gem,10.5
app_store_connect,0.38.0,in the package,6.8,Yes,https://rubygems.org/downloads/app_store_connect-0.38.0.gem,43.0
appbundler,0.13.4,in the package,29.5,Yes,https://rubygems.org/downloads/appbundler-0.13.4.gem,21.0
apple_id,1.6.4,in the package,0.0,Yes,https://rubygems.org/downloads/apple_id-1.6.4.gem,12.0
appraisal,2.5.0,in the package,7.8,Yes,https://rubygems.org/downloads/appraisal-2.5.0.gem,25.5
appsignal,4.10.1,in the package,28.0,Yes,https://rubygems.org/downloads/appsignal-4.10.1.gem,346.0
ar_lazy_preload,2.1.2,in the package,20.0,Yes,https://rubygems.org/downloads/ar_lazy_preload-2.1.2.gem,13.0
arabic-letter-connector,0.1.1,in the package,14.3,Yes,https://rubygems.org/downloads/arabic-letter-connector-0.1.1.gem,5.5
arbre,2.2.1,in the package,8.0,Yes,https://rubygems.org/downloads/arbre-2.2.1.gem,20.0
archive-zip,0.13.1,in the package,78.3,Yes,https://rubygems.org/downloads/archive-zip-0.13.1.gem,38.5
arel,9.0.0,in the package,3.4,Yes,https://rubygems.org/downloads/arel-9.0.0.gem,32.0
arel-helpers,2.17.0,in the package,4.8,Yes,https://rubygems.org/downloads/arel-helpers-2.17.0.gem,12.5
argon2,2.3.3,in the package,18.8,Yes,https://rubygems.org/downloads/argon2-2.3.3.gem,1739.0
argon2-kdf,1.0.0,in the package,0.0,Yes,https://rubygems.org/downloads/argon2-kdf-1.0.0.gem,178.5
aroi,1.0.0,not in the package,0.0,No,,
arr-pm,0.0.12,in the package,14.6,Yes,https://rubygems.org/downloads/arr-pm-0.0.12.gem,33.5
artifactory,3.0.17,in the package,83.0,Yes,https://rubygems.org/downloads/artifactory-3.0.17.gem,29.5
aruba,2.4.1,in the package,51.2,Yes,https://rubygems.org/downloads/aruba-2.4.1.gem,66.0
asana,2.0.3,in the package,70.9,Yes,https://rubygems.org/downloads/asana-2.0.3.gem,69.0
asciidoctor,2.0.26,in the package,48.4,Yes,https://rubygems.org/downloads/asciidoctor-2.0.26.gem,278.0
asciidoctor-include-ext,0.4.0,in the package,95.7,Yes,https://rubygems.org/downloads/asciidoctor-include-ext-0.4.0.gem,11.5
asciidoctor-kroki,1.0.1,in the package,17.6,Yes,https://rubygems.org/downloads/asciidoctor-kroki-1.0.1.gem,43.5
asciidoctor-plantuml,0.1.1,in the package,5.7,Yes,https://rubygems.org/downloads/asciidoctor-plantuml-0.1.1.gem,9.0
asset_sync,2.19.3,in the package,8.7,Yes,https://rubygems.org/downloads/asset_sync-2.19.3.gem,45.5
ast,2.4.3,in the package,88.9,Yes,https://rubygems.org/downloads/ast-2.4.3.gem,11.5
async,2.45.1,in the package,75.5,Yes,https://rubygems.org/downloads/async-2.45.1.gem,67.0
async-http,0.103.0,in the package,82.3,Yes,https://rubygems.org/downloads/async-http-0.103.0.gem,52.0
async-http-faraday,0.23.0,in the package,58.3,Yes,https://rubygems.org/downloads/async-http-faraday-0.23.0.gem,15.5
async-io,1.43.2,in the package,28.4,Yes,https://rubygems.org/downloads/async-io-1.43.2.gem,25.5
atlassian-jwt,0.2.1,in the package,0.0,Yes,https://rubygems.org/downloads/atlassian-jwt-0.2.1.gem,8.5
atomic,1.1.101,in the package,0.0,Yes,https://rubygems.org/downloads/atomic-1.1.101.gem,17.5
atomos,1.0.0,in the package,50.0,Yes,https://rubygems.org/downloads/atomos-1.0.0.gem,11.0
attr_encrypted,4.2.0,in the package,42.4,Yes,https://rubygems.org/downloads/attr_encrypted-4.2.0.gem,30.5
attr_extras,7.1.0,in the package,0.0,Yes,https://rubygems.org/downloads/attr_extras-7.1.0.gem,17.5
attr_required,1.0.2,in the package,0.0,Yes,https://rubygems.org/downloads/attr_required-1.0.2.gem,8.5
audited,5.8.0,in the package,21.4,Yes,https://rubygems.org/downloads/audited-5.8.0.gem,24.5
audits1984,0.1.7,in the package,4.2,Yes,https://rubygems.org/downloads/audits1984-0.1.7.gem,38.5
auth-sanitizer,0.2.3,in the package,78.4,Yes,https://rubygems.org/downloads/auth-sanitizer-0.2.3.gem,43.5
authie,5.0.0,in the package,38.7,Yes,https://rubygems.org/downloads/authie-5.0.0.gem,11.0
auto_strip_attributes,2.6.0,in the package,0.0,Yes,https://rubygems.org/downloads/auto_strip_attributes-2.6.0.gem,12.0
autoforme,1.15.0,in the package,67.0,Yes,https://rubygems.org/downloads/autoforme-1.15.0.gem,31.0
automatiek,0.3.0,in the package,0.0,Yes,https://rubygems.org/downloads/automatiek-0.3.0.gem,9.0
autoprefixer-rails,10.4.21.0,in the package,69.2,Yes,https://rubygems.org/downloads/autoprefixer-rails-10.4.21.0.gem,1146.5
autotuner,1.1.0,in the package,0.0,Yes,https://rubygems.org/downloads/autotuner-1.1.0.gem,16.0
avro,1.12.2,in the package,12.5,Yes,https://rubygems.org/downloads/avro-1.12.2.gem,51.5
awesome_bot,1.20.0,in the package,0.0,Yes,https://rubygems.org/downloads/awesome_bot-1.20.0.gem,25.0
awesome_nested_set,3.9.0,in the package,20.1,Yes,https://rubygems.org/downloads/awesome_nested_set-3.9.0.gem,21.0
awesome_print,1.9.2,in the package,28.9,Yes,https://rubygems.org/downloads/awesome_print-1.9.2.gem,46.5
awrence,5.0.0,in the package,14.3,Yes,https://rubygems.org/downloads/awrence-5.0.0.gem,7.0
aws-actionmailbox-ses,0.2.0,in the package,2.2,Yes,https://rubygems.org/downloads/aws-actionmailbox-ses-0.2.0.gem,11.0
aws-actionmailer-ses,1.2.0,in the package,75.0,Yes,https://rubygems.org/downloads/aws-actionmailer-ses-1.2.0.gem,10.5
aws-eventstream,1.4.0,in the package,25.0,Yes,https://rubygems.org/downloads/aws-eventstream-1.4.0.gem,13.0
aws-partitions,1.1283.0,in the package,46.3,Yes,https://rubygems.org/downloads/aws-partitions-1.1283.0.gem,82.0
aws-record,2.15.2,in the package,38.9,Yes,https://rubygems.org/downloads/aws-record-2.15.2.gem,47.5
aws-s3,0.6.3,in the package,20.7,Yes,https://rubygems.org/downloads/aws-s3-0.6.3.gem,134.0
aws-sdk,3.3.0,not in the package,,No,,
aws-sdk-accessanalyzer,1.94.0,in the package,74.1,Yes,https://rubygems.org/downloads/aws-sdk-accessanalyzer-1.94.0.gem,83.0
aws-sdk-account,1.62.0,in the package,65.5,Yes,https://rubygems.org/downloads/aws-sdk-account-1.62.0.gem,34.5
aws-sdk-acm,1.109.0,in the package,49.0,Yes,https://rubygems.org/downloads/aws-sdk-acm-1.109.0.gem,81.0
aws-sdk-acmpca,1.113.0,in the package,61.9,Yes,https://rubygems.org/downloads/aws-sdk-acmpca-1.113.0.gem,71.5
aws-sdk-alexaforbusiness,1.71.0,in the package,49.8,Yes,https://rubygems.org/downloads/aws-sdk-alexaforbusiness-1.71.0.gem,88.0
aws-sdk-amplify,1.106.0,in the package,75.8,Yes,https://rubygems.org/downloads/aws-sdk-amplify-1.106.0.gem,62.5
aws-sdk-amplifybackend,1.66.0,in the package,76.4,Yes,https://rubygems.org/downloads/aws-sdk-amplifybackend-1.66.0.gem,48.0
aws-sdk-amplifyuibuilder,1.60.0,in the package,71.4,Yes,https://rubygems.org/downloads/aws-sdk-amplifyuibuilder-1.60.0.gem,75.0
aws-sdk-apigateway,1.137.0,in the package,89.1,Yes,https://rubygems.org/downloads/aws-sdk-apigateway-1.137.0.gem,120.0
aws-sdk-apigatewaymanagementapi,1.77.0,in the package,40.9,Yes,https://rubygems.org/downloads/aws-sdk-apigatewaymanagementapi-1.77.0.gem,21.5
aws-sdk-apigatewayv2,1.96.0,in the package,89.1,Yes,https://rubygems.org/downloads/aws-sdk-apigatewayv2-1.96.0.gem,126.5
aws-sdk-appconfig,1.85.0,in the package,81.1,Yes,https://rubygems.org/downloads/aws-sdk-appconfig-1.85.0.gem,84.5
aws-sdk-appconfigdata,1.54.0,in the package,53.6,Yes,https://rubygems.org/downloads/aws-sdk-appconfigdata-1.54.0.gem,23.5
aws-sdk-appflow,1.93.0,in the package,67.8,Yes,https://rubygems.org/downloads/aws-sdk-appflow-1.93.0.gem,95.0
aws-sdk-appintegrationsservice,1.72.0,in the package,67.3,Yes,https://rubygems.org/downloads/aws-sdk-appintegrationsservice-1.72.0.gem,39.5
aws-sdk-applicationautoscaling,1.125.0,in the package,62.5,Yes,https://rubygems.org/downloads/aws-sdk-applicationautoscaling-1.125.0.gem,69.5
aws-sdk-applicationcostprofiler,1.57.0,in the package,53.3,Yes,https://rubygems.org/downloads/aws-sdk-applicationcostprofiler-1.57.0.gem,24.5
aws-sdk-applicationdiscoveryservice,1.104.0,in the package,69.4,Yes,https://rubygems.org/downloads/aws-sdk-applicationdiscoveryservice-1.104.0.gem,55.0
aws-sdk-applicationinsights,1.83.0,in the package,73.4,Yes,https://rubygems.org/downloads/aws-sdk-applicationinsights-1.83.0.gem,50.5
aws-sdk-appmesh,1.95.0,in the package,69.7,Yes,https://rubygems.org/downloads/aws-sdk-appmesh-1.95.0.gem,83.0
aws-sdk-appregistry,1.66.0,in the package,70.6,Yes,https://rubygems.org/downloads/aws-sdk-appregistry-1.66.0.gem,37.5
aws-sdk-apprunner,1.75.0,in the package,77.0,Yes,https://rubygems.org/downloads/aws-sdk-apprunner-1.75.0.gem,62.0
aws-sdk-appstream,1.140.0,in the package,80.7,Yes,https://rubygems.org/downloads/aws-sdk-appstream-1.140.0.gem,126.5
aws-sdk-appsync,1.125.0,in the package,81.0,Yes,https://rubygems.org/downloads/aws-sdk-appsync-1.125.0.gem,100.5
aws-sdk-arczonalshift,1.51.0,in the package,65.9,Yes,https://rubygems.org/downloads/aws-sdk-arczonalshift-1.51.0.gem,40.5
aws-sdk-athena,1.123.0,in the package,84.8,Yes,https://rubygems.org/downloads/aws-sdk-athena-1.123.0.gem,97.0
aws-sdk-auditmanager,1.85.0,in the package,83.7,Yes,https://rubygems.org/downloads/aws-sdk-auditmanager-1.85.0.gem,84.0
aws-sdk-augmentedairuntime,1.71.0,in the package,51.6,Yes,https://rubygems.org/downloads/aws-sdk-augmentedairuntime-1.71.0.gem,25.5
aws-sdk-autoscaling,1.166.0,in the package,88.3,Yes,https://rubygems.org/downloads/aws-sdk-autoscaling-1.166.0.gem,210.0
aws-sdk-autoscalingplans,1.89.0,in the package,53.1,Yes,https://rubygems.org/downloads/aws-sdk-autoscalingplans-1.89.0.gem,36.0
