gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
fast_gettext,4.1.1,70536467,https://www.rubydoc.info/gems/fast_gettext/4.1.1,rubygems:generated_from_comments,20.9,29.0,139.0,True,0,https://www.rubydoc.info/gems/fast_gettext/4.1.1,rubydoc.info,True,,,,,,https://github.com/grosser/fast_gettext,,,https://github.com/grosser/fast_gettext
recursive-open-struct,2.1.1,70502754,https://www.rubydoc.info/gems/recursive-open-struct/2.1.1,rubygems:generated_from_comments,20.0,5.0,25.0,True,0,https://www.rubydoc.info/gems/recursive-open-struct/2.1.1,rubydoc.info,True,,,,,,https://github.com/aetherknight/recursive-open-struct,,,https://github.com/aetherknight/recursive-open-struct
aws-sdk-pinpointemail,1.84.0,70430894,https://rubydoc.info/gems/aws-sdk-pinpointemail,rubygems:generated_from_comments,71.2,47.0,66.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-pinpointemail/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
aws-sdk-pinpointsmsvoice,1.80.0,70427192,https://rubydoc.info/gems/aws-sdk-pinpointsmsvoice,rubygems:generated_from_comments,55.9,19.0,34.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-pinpointsmsvoice/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
has_scope,0.9.0,70378515,https://rubydoc.info/gems/has_scope,rubygems:generated_from_comments,70.0,7.0,10.0,True,0,,,False,,,,,,https://github.com/heartcombo/has_scope,https://github.com/heartcombo/has_scope/blob/main/CHANGELOG.md,,https://github.com/heartcombo/has_scope
aws-sdk-licensemanager,1.94.0,70251982,https://rubydoc.info/gems/aws-sdk-licensemanager,rubygems:generated_from_comments,76.8,86.0,112.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-licensemanager/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
aws-sdk-mediaconnect,1.105.0,70194795,https://rubydoc.info/gems/aws-sdk-mediaconnect,rubygems:generated_from_comments,74.2,115.0,155.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-mediaconnect/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
aws-sdk-kinesisanalyticsv2,1.95.0,70165722,https://rubydoc.info/gems/aws-sdk-kinesisanalyticsv2,rubygems:generated_from_comments,70.7,53.0,75.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-kinesisanalyticsv2/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
aws-sdk-comprehendmedical,1.85.0,70110696,https://rubydoc.info/gems/aws-sdk-comprehendmedical,rubygems:generated_from_comments,69.6,39.0,56.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-comprehendmedical/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
aws-sdk-textract,1.95.0,70051659,https://rubydoc.info/gems/aws-sdk-textract,rubygems:generated_from_comments,55.0,33.0,60.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-textract/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
strings,0.2.1,70014761,https://www.rubydoc.info/gems/strings,rubygems:generated_from_comments,79.2,42.0,53.0,True,0,https://www.rubydoc.info/gems/strings,rubydoc.info,True,,,,,,https://github.com/piotrmurach/strings,https://github.com/piotrmurach/strings/blob/master/CHANGELOG.md,,https://github.com/piotrmurach/strings
lru_redux,1.1.0,69988490,https://www.rubydoc.info/gems/lru_redux/1.1.0,rubygems:generated_from_comments,5.7,3.0,53.0,True,0,https://www.rubydoc.info/gems/lru_redux/1.1.0,rubydoc.info,True,,,,,,https://github.com/SamSaffron/lru_redux,,,https://github.com/samsaffron/lru_redux
acts-as-taggable-on,13.0.0,69952722,https://rubydoc.info/gems/acts-as-taggable-on,rubygems:generated_from_comments,17.1,28.0,164.0,False,0,,,False,,,,,,https://github.com/mbleigh/acts-as-taggable-on,https://github.com/mbleigh/acts-as-taggable-on/blob/master/CHANGELOG.md,,https://github.com/mbleigh/acts-as-taggable-on
rbtree,0.4.7,69778218,https://github.com/mame/rbtree,gem:readme_only,0.0,0.0,91.0,True,0,https://www.rubydoc.info/gems/rbtree/0.4.7,rubydoc.info,True,,,,,,https://github.com/mame/rbtree,,,https://github.com/mame/rbtree
stimulus-rails,1.3.4,69385001,https://stimulus.hotwired.dev,rubygems:project_site,0.0,0.0,6.0,True,0,,,False,,,,,,https://stimulus.hotwired.dev,,,https://github.com/hotwired/stimulus-rails
aws-sdk-backup,1.117.0,69289020,https://rubydoc.info/gems/aws-sdk-backup,rubygems:generated_from_comments,89.5,162.0,181.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-backup/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
aws-sdk-docdb,1.107.0,69025645,https://rubydoc.info/gems/aws-sdk-docdb,rubygems:generated_from_comments,47.1,64.0,136.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-docdb/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
pg_query,6.2.3,68739226,https://www.rubydoc.info/gems/pg_query/6.2.2,rubygems:generated_from_comments,13.2,10.0,76.0,True,0,https://www.rubydoc.info/gems/pg_query/6.2.2,rubydoc.info,True,,,,,,https://github.com/pganalyze/pg_query,,,https://github.com/pganalyze/pg_query
aws-sdk-robomaker,1.92.0,68714453,https://rubydoc.info/gems/aws-sdk-robomaker,rubygems:generated_from_comments,79.8,71.0,89.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-robomaker/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
tsort,0.2.0,68635814,https://rubydoc.info/gems/tsort,rubygems:generated_from_comments,100.0,12.0,12.0,True,0,,,False,,,,,,https://github.com/ruby/tsort,,,https://github.com/ruby/tsort
simplecov-cobertura,4.0.0,68602542,https://www.rubydoc.info/gems/simplecov-cobertura/4.0.0,rubygems:generated_from_comments,7.1,1.0,14.0,True,0,https://www.rubydoc.info/gems/simplecov-cobertura/4.0.0,rubydoc.info,True,,,,,,https://github.com/jessebs/simplecov-cobertura,,,https://github.com/jessebs/simplecov-cobertura
flipper-active_record,1.4.2,68529182,https://www.flippercloud.io/docs,rubygems:custom_doc_site,38.5,10.0,26.0,False,0,https://www.flippercloud.io/docs,flippercloud.io,False,,,,,,https://www.flippercloud.io,https://github.com/flippercloud/flipper/releases/tag/v1.4.2,,https://github.com/flippercloud/flipper
