registry,link_type,url,status,final_url,note
ruby,handwritten_site,http://github.com/guard/guard-rspec#readme,ok,https://github.com/guard/guard-rspec,
ruby,handwritten_site,http://redis-store.org/redis-rack,ok,http://redis-store.org/redis-rack/,
ruby,handwritten_site,https://premailer.github.io/premailer/,ok,https://premailer.github.io/premailer/,
ruby,handwritten_site,http://redis-store.org/redis-actionpack,ok,http://redis-store.org/redis-actionpack/,
ruby,handwritten_site,http://bogomips.org/kgio/,redirected,https://yhbt.net/kgio/,now on yhbt.net
ruby,handwritten_site,https://bogomips.org/raindrops/,redirected,https://yhbt.net/raindrops/,now on yhbt.net
ruby,handwritten_site,https://snaky-hash.galtzo.com,ok,https://snaky-hash.galtzo.com,
ruby,handwritten_site,https://dry-rb.org/gems/dry-schema,redirected,https://hanakai.org/learn/dry/dry-schema/v1.14,now on hanakai.org
ruby,handwritten_site,https://stripe.com/docs/api?lang=ruby,redirected,https://docs.stripe.com/api?lang=ruby,now on docs.stripe.com
ruby,handwritten_site,https://bogomips.org/unicorn/,redirected,https://yhbt.net/unicorn/,now on yhbt.net
ruby,handwritten_site,https://www.mongodb.com/docs/ruby-driver/current/tutorials/bson-v4/,not_found,https://www.mongodb.com/docs/ruby-driver/current/tutorials/bson-v4/,HTTP 404
ruby,handwritten_site,https://dry-rb.org/gems/dry-validation,redirected,https://hanakai.org/learn/dry/dry-validation/v1.11,now on hanakai.org
ruby,handwritten_site,https://googleapis.dev/ruby/google-apis-playcustomapp_v1/v0.18.0,not_found,https://googleapis.dev/ruby/google-apis-playcustomapp_v1/v0.18.0,HTTP 404
ruby,handwritten_site,https://doorkeeper.gitbook.io/guides/,ok,https://doorkeeper.gitbook.io/guides,
ruby,handwritten_site,https://docs.datadoghq.com/api/,ok,https://docs.datadoghq.com/api/latest/,
ruby,handwritten_site,https://davetron5000.github.io/gli/rdoc/index.html,ok,https://davetron5000.github.io/gli/rdoc/index.html,
ruby,handwritten_site,http://www.rubygeocoder.com,ok,http://www.rubygeocoder.com,
ruby,handwritten_site,https://github.com/varvet/pundit/blob/main/README.md,ok,https://github.com/varvet/pundit/blob/main/README.md,
ruby,handwritten_site,http://gemcutter.org/gems/little-plugger,redirected,https://rubygems.org/,now on rubygems.org
ruby,handwritten_site,https://github.com/turbolinks/turbolinks,ok,https://github.com/turbolinks/turbolinks,
ruby,handwritten_site,https://mongodb.com/docs/ruby-driver/current/tutorials/quick-start/,ok,https://www.mongodb.com/docs/ruby-driver/current/get-started/,
ruby,handwritten_site,https://cucumber.io/,ok,https://cucumber.io/,
ruby,handwritten_site,https://prawnpdf.org/docs/prawn/2.5.0/,ok,https://prawnpdf.org/docs/prawn/2.5.0/,
ruby,handwritten_site,https://savonrb.com,ok,https://www.savonrb.com/,
ruby,handwritten_site,https://docs.rubocop.org/rubocop-capybara/,ok,https://docs.rubocop.org/rubocop-capybara/,
ruby,handwritten_site,http://www.a-k-r.org/escape/,ok,http://www.a-k-r.org/escape/,
ruby,handwritten_site,https://docs.rubocop.org/rubocop-factory_bot/,ok,https://docs.rubocop.org/rubocop-factory_bot/,
ruby,handwritten_site,https://prawnpdf.org/docs/pdf-core/0.10.0/,ok,https://prawnpdf.org/docs/pdf-core/0.10.0/,
ruby,handwritten_site,https://mocha.jamesmead.org/,ok,https://mocha.jamesmead.org/,
ruby,handwritten_site,https://test-unit.github.io/test-unit/en/,ok,https://test-unit.github.io/test-unit/en/,
ruby,handwritten_site,https://www.algolia.com/doc/api-client/ruby/getting-started/,not_found,https://www.algolia.com/doc/api-client/ruby/getting-started/,HTTP 404
ruby,handwritten_site,http://flori.github.com/term-ansicolor/doc/index.html,unreachable,http://flori.github.com/term-ansicolor/doc/index.html,domain does not resolve
ruby,handwritten_site,http://redis-store.org/redis-activesupport,ok,http://redis-store.org/redis-activesupport/,
ruby,handwritten_site,https://ruby.github.io/openssl/,ok,https://ruby.github.io/openssl/,
ruby,handwritten_site,http://sixarm.com/,ok,https://sixarm.com/,
ruby,handwritten_site,https://ruby-prof.github.io/,ok,https://ruby-prof.github.io/,
ruby,handwritten_site,https://capistranorb.com/,ok,https://capistranorb.com/,
ruby,handwritten_site,https://slim-template.github.io/,ok,https://slim-template.github.io/,
ruby,handwritten_site,https://cucumber.io,ok,https://cucumber.io,
ruby,handwritten_site,http://redis-store.org/redis-rails,ok,http://redis-store.org/redis-rails/,
ruby,handwritten_site,https://miniprofiler.com,ok,https://miniprofiler.com,
ruby,handwritten_site,http://mjijackson.com/rack-accept,ok,https://mjijackson.com/,
