gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
inertia_rails,3.22.0,1922097,5.2,18.0,345.0,True,README.md,7133.0,1.0,1.0,0.0,3.0,https://github.com/inertiajs/inertia-rails/blob/master/README.md,github.com,False,https://github.com/inertiajs/inertia-rails,https://github.com/inertiajs/inertia-rails/blob/master/CHANGELOG.md,,,https://github.com/inertiajs/inertia-rails/issues,https://github.com/inertiajs/inertia-rails
rdf-normalize,0.7.0,1771514,66.7,30.0,45.0,True,README.md,4180.0,0.0,1.0,0.0,1.0,https://ruby-rdf.github.io/rdf-normalize,ruby-rdf.github.io,False,https://github.com/ruby-rdf/rdf-normalize,,,,https://github.com/ruby-rdf/rdf-normalize/issues,https://github.com/ruby-rdf/rdf-normalize
herb,0.10.3,1520683,50.2,652.0,1300.0,True,README.md,11120.0,0.0,1.0,0.0,2.0,https://docs.herb-tools.dev,docs.herb-tools.dev,False,https://herb-tools.dev,https://github.com/marcoroth/herb/releases,,https://github.com/marcoroth/herb,https://github.com/marcoroth/herb/issues,https://github.com/marcoroth/herb
omniauth-cas,3.0.2,1339651,48.1,13.0,27.0,True,README.md,5791.0,1.0,1.0,0.0,2.0,https://dlindahl.github.io/omniauth-cas/,dlindahl.github.io,False,https://github.com/dlindahl/omniauth-cas,https://github.com/dlindahl/omniauth-cas/blob/master/CHANGELOG.md,https://github.com/dlindahl/omniauth-cas/wiki,,https://github.com/dlindahl/omniauth-cas/issues,https://github.com/dlindahl/omniauth-cas
uri-idna,0.3.1,1177959,16.4,12.0,73.0,True,README.md,11882.0,1.0,1.0,0.0,3.0,https://github.com/skryukov/uri-idna/blob/main/README.md,github.com,False,https://github.com/skryukov/uri-idna,https://github.com/skryukov/uri-idna/blob/main/CHANGELOG.md,,,https://github.com/skryukov/uri-idna/issues,https://github.com/skryukov/uri-idna
json_skooma,0.2.7,1125492,0.5,1.0,214.0,True,README.md,7771.0,1.0,1.0,0.0,6.0,https://github.com/skryukov/json_skooma/blob/main/README.md,github.com,False,https://github.com/skryukov/json_skooma,https://github.com/skryukov/json_skooma/blob/main/CHANGELOG.md,,,https://github.com/skryukov/json_skooma/issues,https://github.com/skryukov/json_skooma
skooma,0.4.0,1122608,6.7,13.0,194.0,True,README.md,12216.0,1.0,1.0,0.0,3.0,https://github.com/skryukov/skooma/blob/main/README.md,github.com,False,https://github.com/skryukov/skooma,https://github.com/skryukov/skooma/blob/main/CHANGELOG.md,,,https://github.com/skryukov/skooma/issues,https://github.com/skryukov/skooma
kindlerb,1.2.0,1060250,40.0,2.0,5.0,True,README.md,3919.0,0.0,0.0,0.0,2.0,https://github.com/danchoi/kindlerb/blob/master/README.md,github.com,False,http://github.com/danchoi/kindlerb,,,https://github.com/danchoi/kindlerb,,https://github.com/danchoi/kindlerb
email-provider-info,0.0.1,989899,0.0,0.0,2.0,True,README.md,2920.0,1.0,1.0,0.0,8.0,https://github.com/fnando/email-provider-info/tree/v0.0.1/README.md,github.com,False,https://github.com/fnando/email-provider-info,https://github.com/fnando/email-provider-info/tree/v0.0.1/CHANGELOG.md,,https://github.com/fnando/email-provider-info/tree/v0.0.1,https://github.com/fnando/email-provider-info/issues,https://github.com/fnando/email-provider-info
google-apis-cloudkms_v1,0.79.0,981246,65.1,183.0,281.0,False,,0.0,1.0,1.0,0.0,3.0,https://googleapis.dev/ruby/google-apis-cloudkms_v1/v0.78.0,googleapis.dev,False,https://github.com/google/google-api-ruby-client,https://github.com/googleapis/google-api-ruby-client/tree/main/generated/google-apis-cloudkms_v1/CHANGELOG.md,,https://github.com/googleapis/google-api-ruby-client/tree/main/generated/google-apis-cloudkms_v1,https://github.com/googleapis/google-api-ruby-client/issues,https://github.com/googleapis/google-api-ruby-client
standardwebhooks,1.1.0,595961,0.0,0.0,7.0,True,README.md,2994.0,0.0,0.0,0.0,1.0,https://github.com/standard-webhooks/standard-webhooks/blob/main/libraries/ruby/README.md,github.com,False,https://www.standardwebhooks.com/,,,https://github.com/standard-webhooks/standard-webhooks/tree/main/libraries/ruby,https://github.com/standard-webhooks/standard-webhooks/issues,https://github.com/standard-webhooks/standard-webhooks
sus,0.37.2,497388,81.4,323.0,397.0,True,readme.md,4218.0,0.0,1.0,0.0,6.0,https://socketry.github.io/sus/,socketry.github.io,False,https://github.com/socketry/sus,,,https://github.com/socketry/sus.git,,https://github.com/socketry/sus
string-direction,1.2.2,468482,36.1,13.0,36.0,True,README.md,5883.0,0.0,1.0,0.0,2.0,https://github.com/waiting-for-dev/string-direction/blob/master/README.md,github.com,False,https://github.com/waiting-for-dev/string-direction/,,,,https://github.com/waiting-for-dev/string-direction/issues,https://github.com/waiting-for-dev/string-direction
typelizer,0.13.1,372908,10.2,27.0,266.0,True,README.md,2401.0,1.0,0.0,0.0,2.0,https://github.com/skryukov/typelizer/blob/main/README.md,github.com,False,https://github.com/skryukov/typelizer,https://github.com/skryukov/typelizer/blob/main/CHANGELOG.md,,,https://github.com/skryukov/typelizer/issues,https://github.com/skryukov/typelizer
vagrant_cloud,3.1.3,336409,78.7,111.0,141.0,True,README.md,4938.0,0.0,1.0,0.0,1.0,https://www.vagrantup.com/docs/vagrant-cloud/api.html,vagrantup.com,False,https://github.com/hashicorp/vagrant_cloud,,,,https://github.com/hashicorp/vagrant_cloud/issues,https://github.com/hashicorp/vagrant_cloud
epub-parser,0.5.0,335939,26.5,63.0,238.0,True,README.adoc,6922.0,1.0,0.0,14.0,6.0,https://kitaitimakoto.gitlab.io/epub-parser/,kitaitimakoto.gitlab.io,False,https://kitaitimakoto.gitlab.io/epub-parser/file.Home.html,,,https://gitlab.com/KitaitiMakoto/epub-parser,https://gitlab.com/KitaitiMakoto/epub-parser/issues,
markly,0.18.1,321431,83.1,59.0,71.0,True,readme.md,5340.0,0.0,1.0,0.0,7.0,https://socketry.github.io/markly/,socketry.github.io,False,https://github.com/socketry/markly,,,https://github.com/socketry/markly.git,,https://github.com/socketry/markly
themoviedb,1.0.2,292935,56.0,51.0,91.0,True,README.md,11714.0,0.0,0.0,0.0,1.0,https://github.com/ahmetabdi/themoviedb,github.com,False,https://rubygems.org/gems/themoviedb,,,,,https://github.com/ahmetabdi/themoviedb
numo-narray-alt,0.11.2,274697,56.1,32.0,57.0,True,README.md,4928.0,0.0,1.0,0.0,1.0,https://gemdocs.org/gems/numo-narray-alt/0.11.2/,gemdocs.org,False,https://github.com/yoshoku/numo-narray-alt,https://github.com/yoshoku/numo-narray-alt/blob/main/CHANGELOG.md,,,,https://github.com/yoshoku/numo-narray-alt
chef-powershell,18.6.6,184056,,,,False,,,,,,,https://github.com/chef/chef-powershell-shim/chef-powershell/README.md,github.com,False,https://github.com/chef/chef/tree/18-Stable/chef-powershell,https://github.com/chef/chef-powershell-shim/CHANGELOG.md,,https://github.com/chef/chef-powershell-shim/chef-powershell,https://github.com/chef/chef/issues,https://github.com/chef/chef-powershell-shim
forme,2.7.0,147098,76.0,174.0,229.0,True,README.rdoc,54785.0,1.0,0.0,0.0,1.0,http://forme.jeremyevans.net,forme.jeremyevans.net,False,http://github.com/jeremyevans/forme,http://forme.jeremyevans.net/files/CHANGELOG.html,,https://github.com/jeremyevans/forme,https://github.com/jeremyevans/forme/issues,https://github.com/jeremyevans/forme
google-apis-cloudresourcemanager_v3,0.63.0,116941,65.5,129.0,197.0,False,,0.0,1.0,1.0,0.0,3.0,https://googleapis.dev/ruby/google-apis-cloudresourcemanager_v3/v0.63.0,googleapis.dev,False,https://github.com/google/google-api-ruby-client,https://github.com/googleapis/google-api-ruby-client/tree/main/generated/google-apis-cloudresourcemanager_v3/CHANGELOG.md,,https://github.com/googleapis/google-api-ruby-client/tree/main/generated/google-apis-cloudresourcemanager_v3,https://github.com/googleapis/google-api-ruby-client/issues,https://github.com/googleapis/google-api-ruby-client
autoforme,1.15.0,94892,67.0,130.0,194.0,True,README.rdoc,13219.0,1.0,0.0,0.0,1.0,http://autoforme.jeremyevans.net,autoforme.jeremyevans.net,False,http://github.com/jeremyevans/autoforme,http://autoforme.jeremyevans.net/files/CHANGELOG.html,,https://github.com/jeremyevans/autoforme,https://github.com/jeremyevans/autoforme/issues,https://github.com/jeremyevans/autoforme
email_typo,0.2.3,88714,0.0,0.0,2.0,True,README.md,2517.0,1.0,1.0,0.0,8.0,https://github.com/fnando/email_typo/tree/v0.2.3/README.md,github.com,False,https://github.com/fnando/email_typo,https://github.com/fnando/email_typo/tree/v0.2.3/CHANGELOG.md,,https://github.com/fnando/email_typo/tree/v0.2.3,https://github.com/fnando/email_typo/issues,https://github.com/fnando/email_typo
ratatui_ruby,1.5.0,55559,82.3,385.0,468.0,False,,0.0,0.0,1.0,0.0,17.0,https://www.ratatui-ruby.dev/docs/,ratatui-ruby.dev,False,https://www.ratatui-ruby.dev,https://github.com/setdef/RatatuiRuby/blob/stable/CHANGELOG.md,https://man.sr.ht/~kerrick/ratatui_ruby/,https://github.com/setdef/RatatuiRuby,https://forum.setdef.com/tags/c/ratatui-ruby/6/bug,https://github.com/setdef/ratatuiruby
smarter_json,1.2.6,21603,51.7,61.0,118.0,True,README.md,31008.0,1.0,1.0,5.0,10.0,https://github.com/tilo/smarter_json#readme,github.com,False,https://github.com/tilo/smarter_json,https://github.com/tilo/smarter_json/blob/main/CHANGELOG.md,,https://github.com/tilo/smarter_json/tree/main,https://github.com/tilo/smarter_json/issues,https://github.com/tilo/smarter_json
