gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
redis-client,0.30.1,156342833,1.7,4.0,235.0,True,README.md,21645.0,1.0,1.0,0.0,3.0,,,False,https://github.com/redis-rb/redis-client,https://github.com/redis-rb/redis-client/blob/master/CHANGELOG.md,,,,https://github.com/redis-rb/redis-client
stackprof,0.2.28,155275563,2.0,1.0,50.0,True,README.md,12429.0,1.0,1.0,0.0,2.0,https://www.rubydoc.info/gems/stackprof/0.2.28,rubydoc.info,True,http://github.com/tmm1/stackprof,https://github.com/tmm1/stackprof/blob/v0.2.28/CHANGELOG.md,,https://github.com/tmm1/stackprof/tree/v0.2.28,https://github.com/tmm1/stackprof/issues,https://github.com/tmm1/stackprof
colored,1.2,154322564,0.0,0.0,4.0,True,README,617.0,0.0,1.0,0.0,0.0,,,False,http://github.com/defunkt/colored,,,,,https://github.com/defunkt/colored
gh_inspector,1.1.3,154253950,50.0,14.0,28.0,True,README.md,4077.0,1.0,1.0,0.0,2.0,https://www.rubydoc.info/gems/gh_inspector/1.1.3,rubydoc.info,True,https://github.com/orta/gh_inspector,,,,,https://github.com/orta/gh_inspector
guard,2.20.2,153631020,34.5,116.0,336.0,True,README.md,8578.0,1.0,1.0,0.0,2.0,,,False,https://guard.github.io/guard/,https://github.com/guard/guard/releases,,,,https://github.com/guard/guard
lumberjack,2.1.0,153221799,83.6,332.0,397.0,True,README.md,34031.0,1.0,0.0,0.0,5.0,,,False,https://github.com/bdurand/lumberjack,https://github.com/bdurand/lumberjack/blob/main/CHANGELOG.md,,,,https://github.com/bdurand/lumberjack
google-apis-androidpublisher_v3,0.108.0,152667700,57.6,540.0,937.0,False,,0.0,1.0,1.0,0.0,3.0,https://googleapis.dev/ruby/google-apis-androidpublisher_v3/v0.107.0,googleapis.dev,False,https://github.com/google/google-api-ruby-client,https://github.com/googleapis/google-api-ruby-client/tree/main/generated/google-apis-androidpublisher_v3/CHANGELOG.md,,https://github.com/googleapis/google-api-ruby-client/tree/main/generated/google-apis-androidpublisher_v3,https://github.com/googleapis/google-api-ruby-client/issues,https://github.com/googleapis/google-api-ruby-client
backports,3.25.3,151574120,21.4,138.0,645.0,True,README.md,12726.0,1.0,1.0,0.0,4.0,,,False,http://github.com/marcandre/backports,https://github.com/marcandre/backports/blob/master/CHANGELOG.md,,https://github.com/marcandre/backports,https://github.com/marcandre/backports/issues,https://github.com/marcandre/backports
aws-sdk-iam,1.152.0,151436948,88.1,624.0,708.0,False,,0.0,1.0,1.0,0.0,2.0,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-iam/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-iam,,https://github.com/aws/aws-sdk-ruby
sexp_processor,4.17.5,151042849,0.0,0.0,204.0,True,README.rdoc,2920.0,1.0,0.0,0.0,3.0,,,False,https://github.com/seattlerb/sexp_processor,,,,,https://github.com/seattlerb/sexp_processor
rack-attack,6.8.0,149825060,1.1,1.0,90.0,True,README.md,18712.0,0.0,1.0,0.0,1.0,,,False,https://github.com/rack/rack-attack,https://github.com/rack/rack-attack/blob/main/CHANGELOG.md,,,https://github.com/rack/rack-attack/issues,https://github.com/rack/rack-attack
open4,1.3.4,149177552,7.7,2.0,26.0,True,README,11331.0,0.0,1.0,0.0,0.0,https://www.rubydoc.info/gems/open4/1.3.4,rubydoc.info,True,https://github.com/ahoward/open4,,,,,https://github.com/ahoward/open4
sorbet-runtime,0.6.13486,147928060,23.5,175.0,745.0,False,,0.0,0.0,0.0,0.0,0.0,,,False,https://sorbet.org,,,https://github.com/sorbet/sorbet,,https://github.com/sorbet/sorbet
sentry-ruby,7.0.0,147803090,35.9,241.0,672.0,True,README.md,10555.0,1.0,1.0,0.0,3.0,http://www.rubydoc.info/gems/sentry-ruby/6.7.0,rubydoc.info,True,https://github.com/getsentry/sentry-ruby/tree/6.7.0/sentry-ruby,https://github.com/getsentry/sentry-ruby/blob/6.7.0/CHANGELOG.md,,,https://github.com/getsentry/sentry-ruby/issues,https://github.com/getsentry/sentry-ruby
ostruct,0.6.3,147377039,63.6,14.0,22.0,True,README.md,3076.0,0.0,1.0,0.0,1.0,,,False,https://github.com/ruby/ostruct,https://github.com/ruby/ostruct/releases,,,,https://github.com/ruby/ostruct
commander,6.0.0,145929014,83.8,83.0,99.0,True,README.md,11614.0,1.0,1.0,0.0,2.0,https://www.rubydoc.info/gems/commander/6.0.0,rubydoc.info,True,https://github.com/commander-rb/commander,https://github.com/commander-rb/commander/blob/master/History.rdoc,,https://github.com/commander-rb/commander/tree/v6.0.0,https://github.com/commander-rb/commander/issues,https://github.com/commander-rb/commander
aws-sdk-ecr,1.132.0,145611463,66.9,119.0,178.0,False,,0.0,1.0,1.0,0.0,2.0,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-ecr/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-ecr,,https://github.com/aws/aws-sdk-ruby
paper_trail,17.0.0,145194929,67.8,166.0,245.0,False,,0.0,0.0,1.0,0.0,1.0,,,False,https://github.com/paper-trail-gem/paper_trail,https://github.com/paper-trail-gem/paper_trail/blob/master/CHANGELOG.md,,,,https://github.com/airblade/paper_trail
browser,6.2.0,144244411,13.8,60.0,436.0,True,README.md,12734.0,1.0,1.0,0.0,4.0,,,False,https://github.com/fnando/browser,https://github.com/fnando/browser/blob/main/CHANGELOG.md,,,,https://github.com/fnando/browser
descendants_tracker,0.0.4,143685012,100.0,3.0,3.0,True,README.md,1395.0,0.0,1.0,0.0,2.0,https://www.rubydoc.info/gems/descendants_tracker/0.0.4,rubydoc.info,True,https://github.com/dkubb/descendants_tracker,,,,,https://github.com/dkubb/descendants_tracker
