package,version,bytes,size_mb,version_count,stable_versions,all_versions_bytes_est,all_versions_gb_est
aws-sdk-iotanalytics,1.93.0,61440,0.061,94,94,5775360,0.0058
ronn,0.7.3,61440,0.061,7,7,430080,0.0004
diaspora_federation,1.2.0,61440,0.061,37,37,2273280,0.0023
active_storage_validations,4.1.1,61440,0.061,65,65,3993600,0.004
aws-sdk-workdocs,1.92.0,60928,0.061,104,93,6336512,0.0063
aws-sdk-synthetics,1.87.0,60928,0.061,88,88,5361664,0.0054
aws-sdk-chime,1.120.0,60928,0.061,120,120,7311360,0.0073
langfuse-ruby,0.2.0,60928,0.061,9,9,548352,0.0005
kgio,2.11.4,60416,0.06,42,36,2537472,0.0025
aws-sdk-iotevents,1.84.0,60416,0.06,85,85,5135360,0.0051
bootstrap_form,5.6.1,60416,0.06,45,44,2718720,0.0027
aws-sdk-chimesdkmessaging,1.67.0,60416,0.06,68,68,4108288,0.0041
csl,2.2.1,60416,0.06,48,25,2899968,0.0029
regexp_parser,2.12.0,60416,0.06,71,71,4289536,0.0043
elasticsearch-transport,7.17.11,60416,0.06,106,88,6404096,0.0064
gitlab-net-dns,0.15.0,60416,0.06,7,7,422912,0.0004
prometheus-client-mmap,1.6.1,59904,0.06,283,226,16952832,0.017
hiredis,0.6.3,59904,0.06,32,30,1916928,0.0019
thin,2.0.1,59904,0.06,71,71,4253184,0.0043
rubyzip,3.6.0,59904,0.06,53,48,3174912,0.0032
contracts,0.17.3,59904,0.06,39,39,2336256,0.0023
aws-sdk-opensearchserverless,1.62.0,59904,0.06,63,63,3773952,0.0038
aws-sdk-healthlake,1.70.0,59904,0.06,71,71,4253184,0.0043
twitter-text,3.1.0,59392,0.059,67,67,3979264,0.004
aws-sdk-marketplacecatalog,1.84.0,59392,0.059,85,85,5048320,0.005
poltergeist,1.18.1,58880,0.059,35,35,2060800,0.0021
aws-sdk-ssmincidents,1.69.0,58880,0.059,70,70,4121600,0.0041
therubyracer,0.12.3,58880,0.059,109,67,6417920,0.0064
browser,6.2.0,58368,0.058,56,55,3268608,0.0033
aws-sdk-inspector,1.93.0,58368,0.058,106,94,6187008,0.0062
devise_invitable,2.0.12,58368,0.058,84,79,4902912,0.0049
hrr_rb_ssh,0.4.2,58368,0.058,24,18,1400832,0.0014
pg_search,2.3.8,58368,0.058,65,65,3793920,0.0038
fakeweb,1.3.0,58368,0.058,14,14,817152,0.0008
bigbluebutton-api-ruby,2.1.0,57856,0.058,22,20,1272832,0.0013
celluloid-io,0.17.3,57856,0.058,27,19,1562112,0.0016
tiny_tds,3.4.0,57856,0.058,213,118,12323328,0.0123
dogapi,1.45.0,57856,0.058,69,69,3992064,0.004
process_executer,4.1.1,57344,0.057,28,28,1605632,0.0016
sexp_processor,4.17.5,57344,0.057,58,57,3325952,0.0033
nats-pure,2.5.0,57344,0.057,23,20,1318912,0.0013
thor,1.5.0,56832,0.057,58,58,3296256,0.0033
ruby-ole,1.2.13.1,56832,0.057,27,27,1534464,0.0015
sitemap_generator,7.1.1,56832,0.057,89,83,5058048,0.0051
mini_racer,0.22.1,56832,0.057,82,61,4660224,0.0047
gitlab-secret_detection,0.45.0,56832,0.057,79,79,4489728,0.0045
jquery-fileupload-rails,1.0.0,56832,0.057,18,18,1022976,0.001
http-2,1.2.2,56832,0.057,25,25,1420800,0.0014
aws-sdk-billingconductor,1.60.0,56832,0.057,61,61,3466752,0.0035
grape-swagger,2.2.0,56832,0.057,71,71,4035072,0.004
google-apis-storage_v1,0.67.0,56320,0.056,67,67,3773440,0.0038
sys-proctable,1.3.0,56320,0.056,131,131,7377920,0.0074
saml2,3.3.1,56320,0.056,63,63,3548160,0.0035
aws-sdk-applicationdiscoveryservice,1.104.0,56320,0.056,118,105,6645760,0.0066
aws-sdk-lookoutmetrics,1.61.0,55808,0.056,62,62,3460096,0.0035
chef-config,19.3.15,55808,0.056,205,201,11440640,0.0114
forme,2.7.0,55808,0.056,30,30,1674240,0.0017
aws-sdk-kinesisvideo,1.97.0,55808,0.056,98,98,5469184,0.0055
roadie,5.3.1,55296,0.055,48,41,2654208,0.0027
redcarpet,3.6.1,55296,0.055,75,71,4147200,0.0041
rbi,0.4.3,55296,0.055,57,57,3151872,0.0032
aws-sdk-migrationhubstrategyrecommendations,1.56.0,55296,0.055,57,57,3151872,0.0032
gitaly,19.3.1,55296,0.055,578,402,31961088,0.032
aws-sdk-budgets,1.111.0,55296,0.055,126,113,6967296,0.007
hashie,5.1.0,55296,0.055,50,50,2764800,0.0028
logstash-logger,1.0.0,55296,0.055,45,45,2488320,0.0025
aws-sdk-emrserverless,1.70.0,55296,0.055,71,71,3926016,0.0039
net-sftp,4.0.0,55296,0.055,22,17,1216512,0.0012
statesman,13.3.0,54784,0.055,72,69,3944448,0.0039
cmdparse,3.0.7,54784,0.055,21,21,1150464,0.0012
twitter,8.3.1,54784,0.055,54,52,2958336,0.003
llhttp,0.6.2,54784,0.055,11,11,602624,0.0006
carrierwave,3.1.4,54784,0.055,90,81,4930560,0.0049
jwt,3.2.0,54784,0.055,56,52,3067904,0.0031
aws-sdk-shield,1.99.0,54784,0.055,111,100,6081024,0.0061
instructure-happymapper,0.5.10,54272,0.054,1,1,54272,0.0001
mustermann,4.0.0,54272,0.054,33,24,1790976,0.0018
rubytree,2.2.2,54272,0.054,44,37,2387968,0.0024
rake-compiler-dock,1.12.0,54272,0.054,47,41,2550784,0.0026
anyway_config,2.8.1,54272,0.054,55,50,2984960,0.003
json_schemer,2.5.0,54272,0.054,49,49,2659328,0.0027
google-cloud-profiler-v2,1.7.0,54272,0.054,31,31,1682432,0.0017
aws-sdk-elasticloadbalancing,1.92.0,54272,0.054,105,93,5698560,0.0057
hanami-action,3.0.1,53760,0.054,3,2,161280,0.0002
hotcell-server,0.4.1,53760,0.054,7,7,376320,0.0004
aws-sdk-managedgrafana,1.66.0,53760,0.054,67,67,3601920,0.0036
rubycas-client,2.3.9,53760,0.054,24,21,1290240,0.0013
omniauth-identity,3.2.1,53760,0.054,26,22,1397760,0.0014
async-http,0.103.0,53248,0.053,237,237,12619776,0.0126
rss,0.3.3,53248,0.053,7,7,372736,0.0004
aws-sdk-panorama,1.59.0,53248,0.053,60,60,3194880,0.0032
postmark,1.25.1,53248,0.053,90,90,4792320,0.0048
aws-sdk-support,1.95.0,53248,0.053,108,97,5750784,0.0058
aws-sdk-polly,1.127.0,53248,0.053,141,129,7507968,0.0075
vernier,1.11.0,53248,0.053,34,34,1810432,0.0018
pact,2.0.2,53248,0.053,170,159,9052160,0.0091
aws-sdk-finspacedata,1.69.0,53248,0.053,70,70,3727360,0.0037
aws-sdk-mq,1.100.0,53248,0.053,101,101,5378048,0.0054
fluent-plugin-kafka,0.19.8,53248,0.053,111,108,5910528,0.0059
aws-sdk-ssmcontacts,1.64.0,53248,0.053,65,65,3461120,0.0035
avro,1.12.2,52736,0.053,32,32,1687552,0.0017
reline,0.7.0,52736,0.053,71,59,3744256,0.0037
aws-sdk-lexruntimev2,1.71.0,52736,0.053,73,73,3849728,0.0038
gitlab-styles,14.1.0,52736,0.053,56,56,2953216,0.003
backburner,1.7.0,52736,0.053,33,32,1740288,0.0017
email_reply_trimmer,0.4.0,52224,0.052,25,25,1305600,0.0013
aws-sdk-emrcontainers,1.76.0,52224,0.052,77,77,4021248,0.004
user_agent_parser,2.21.0,52224,0.052,38,38,1984512,0.002
sentry-raven,3.1.2,52224,0.052,92,92,4804608,0.0048
minitar,1.1.0,52224,0.052,13,13,678912,0.0007
gollum-lib,6.1.0,52224,0.052,80,72,4177920,0.0042
aws-sdk-resourceexplorer2,1.54.0,52224,0.052,55,55,2872320,0.0029
net-http,0.9.1,52224,0.052,17,16,887808,0.0009
aws-sdk-keyspaces,1.60.0,52224,0.052,61,61,3185664,0.0032
sus,0.37.2,51712,0.052,79,79,4085248,0.0041
aws-sdk-timestreamquery,1.71.0,51712,0.052,72,72,3723264,0.0037
acme-client,2.0.34,51712,0.052,65,65,3361280,0.0034
aws-sdk-kinesisanalytics,1.89.0,51712,0.052,102,90,5274624,0.0053
mixlib-install,3.19.2,51712,0.052,105,96,5429760,0.0054
simple_form,5.4.1,51712,0.052,63,58,3257856,0.0033
super_diff,0.19.0,51712,0.052,26,26,1344512,0.0013
aws-sdk-applicationinsights,1.83.0,51712,0.052,84,84,4343808,0.0043
aws-sdk-codecatalyst,1.52.0,51712,0.052,53,53,2740736,0.0027
train-core,3.16.5,51200,0.051,100,100,5120000,0.0051
aws-sdk-sagemakergeospatial,1.48.0,51200,0.051,49,49,2508800,0.0025
inst-jobs,3.3.2,51200,0.051,119,119,6092800,0.0061
liquid-c,4.2.0,51200,0.051,9,8,460800,0.0005
classifier-reborn,2.3.0,51200,0.051,9,8,460800,0.0005
factory_bot,6.6.0,50688,0.051,37,33,1875456,0.0019
retriable,5.0.1,50688,0.051,40,35,2027520,0.002
virtus,2.0.0,50176,0.05,37,29,1856512,0.0019
aws-sdk-sms,1.77.0,50176,0.05,90,79,4515840,0.0045
icalendar,2.12.4,50176,0.05,71,69,3562496,0.0036
httparty,0.24.2,50176,0.05,87,87,4365312,0.0044
aws-sdk-opsworkscm,1.89.0,50176,0.05,102,90,5117952,0.0051
bundler-audit,0.9.3,50176,0.05,20,18,1003520,0.001
aws-sdk-managedblockchain,1.88.0,50176,0.05,88,88,4415488,0.0044
aws-sdk-securitylake,1.57.0,50176,0.05,58,58,2910208,0.0029
standard,1.56.0,49664,0.05,152,152,7548928,0.0075
tty-prompt,0.23.1,49664,0.05,32,32,1589248,0.0016
disposable,0.6.3,49664,0.05,49,47,2433536,0.0024
aws-sdk-codeguruprofiler,1.71.0,49664,0.05,72,72,3575808,0.0036
aws-sdk-resourcegroups,1.100.0,49664,0.05,102,102,5065728,0.0051
jasmine,3.99.0,49664,0.05,74,66,3675136,0.0037
aws-sdk-amplifybackend,1.66.0,49152,0.049,67,67,3293184,0.0033
resque-scheduler,5.0.0,49152,0.049,61,54,2998272,0.003
term-ansicolor,1.11.3,49152,0.049,38,38,1867776,0.0019
fiddle,1.1.8,49152,0.049,21,19,1032192,0.001
aws-sdk-translate,1.99.0,49152,0.049,100,100,4915200,0.0049
dependabot-composer,0.395.0,49152,0.049,1046,1045,51412992,0.0514
aws-record,2.15.2,48640,0.049,45,35,2188800,0.0022
karafka-core,2.6.3,48640,0.049,64,55,3112960,0.0031
aws-sdk-cloudwatchrum,1.60.0,48640,0.049,61,61,2967040,0.003
dry-types,1.9.1,48640,0.049,52,52,2529280,0.0025
pdf-core,0.10.0,48640,0.049,24,24,1167360,0.0012
dry-system,1.2.5,48640,0.049,52,49,2529280,0.0025
sanitize,7.0.0,48640,0.049,71,57,3453440,0.0035
switchman,4.3.5,48640,0.049,278,276,13521920,0.0135
multi_xml,0.9.1,48128,0.048,29,29,1395712,0.0014
svg-graph,2.2.2,48128,0.048,17,14,818176,0.0008
posthog-ruby,3.23.7,48128,0.048,89,88,4283392,0.0043
influxdb-client,3.2.0,48128,0.048,174,31,8374272,0.0084
dependabot-gradle,0.395.0,48128,0.048,1101,1100,52988928,0.053
simplecov-rcov,0.3.7,48128,0.048,11,11,529408,0.0005
savon,2.17.4,48128,0.048,99,93,4764672,0.0048
dry-schema,1.16.0,48128,0.048,60,60,2887680,0.0029
aws-sdk-detective,1.85.0,48128,0.048,86,86,4139008,0.0041
cbor,0.5.10.1,48128,0.048,16,16,770048,0.0008
actioncable,8.1.3,47616,0.048,230,169,10951680,0.011
puppetserver-ca,2.7.2,47616,0.048,61,60,2904576,0.0029
i18n,1.15.2,47616,0.048,89,80,4237824,0.0042
mustache,1.1.3,47616,0.048,47,47,2237952,0.0022
awesome_print,1.9.2,47616,0.048,23,21,1095168,0.0011
sigstore,0.2.3,47616,0.048,5,5,238080,0.0002
bootsnap,1.26.0,47616,0.048,146,123,6951936,0.007
simple-navigation,4.5.0,47616,0.048,72,70,3428352,0.0034
aws-sdk-fis,1.68.0,47616,0.048,69,69,3285504,0.0033
aws-sdk-codegurureviewer,1.82.0,47616,0.048,83,83,3952128,0.004
azure-storage-common,2.0.4,47616,0.048,7,7,333312,0.0003
fog-aliyun,0.4.1,47616,0.048,26,26,1238016,0.0012
fluent-plugin-prometheus,2.3.0,47616,0.048,38,38,1809408,0.0018
messageformat-wrapper,1.1.0,47616,0.048,2,2,95232,0.0001
bcrypt,3.1.22,47616,0.048,56,52,2666496,0.0027
aws-sdk-voiceid,1.60.0,47104,0.047,61,61,2873344,0.0029
datagrid,2.0.9,47104,0.047,86,85,4050944,0.0041
makara,0.5.1,47104,0.047,11,10,518144,0.0005
fog-core,2.6.0,47104,0.047,48,48,2260992,0.0023
skooma,0.4.0,47104,0.047,15,15,706560,0.0007
aws-sdk-lookoutforvision,1.57.0,47104,0.047,58,58,2732032,0.0027
aasm,6.0.0,46592,0.047,103,103,4798976,0.0048
aws-sdk-mediapackage,1.106.0,46592,0.047,108,108,5031936,0.005
asset_sync,2.19.3,46592,0.047,78,78,3634176,0.0036
aws-sdk-timestreamwrite,1.66.0,46080,0.046,67,67,3087360,0.0031
ruby-debug-ide,0.7.5,46080,0.046,90,52,4147200,0.0041
aws-sdk-signer,1.87.0,46080,0.046,87,87,4008960,0.004
rubocop-performance,1.27.0,46080,0.046,61,61,2810880,0.0028
jekyll-theme-tactile,0.2.0,46080,0.046,7,7,322560,0.0003
aws-sdk-cloudsearch,1.91.0,46080,0.046,104,93,4792320,0.0048
hirb,0.7.3,46080,0.046,31,31,1428480,0.0014
aws-sdk-migrationhubrefactorspaces,1.57.0,46080,0.046,58,58,2672640,0.0027
informers,1.3.0,46080,0.046,14,14,645120,0.0006
gapic-common,1.3.0,46080,0.046,45,45,2073600,0.0021
google-apis-pubsub_v1,0.71.0,46080,0.046,71,71,3271680,0.0033
character_set,1.8.0,46080,0.046,24,24,1105920,0.0011
aws-sdk-mwaa,1.79.0,45568,0.046,80,80,3645440,0.0036
factory_girl_rails,4.9.0,45568,0.046,36,29,1640448,0.0016
graphql-docs,6.0.0,45568,0.046,52,46,2369536,0.0024
doorkeeper-i18n,5.2.9,45568,0.046,18,18,820224,0.0008
aws-sdk-controltower,1.63.0,45568,0.046,64,64,2916352,0.0029
fission,0.5.0,45568,0.046,10,5,455680,0.0005
ruby-macho,7.0.0,45568,0.046,42,41,1913856,0.0019
aws-sdk-migrationhuborchestrator,1.48.0,45568,0.046,49,49,2232832,0.0022
citrus,3.0.2,45056,0.045,34,34,1531904,0.0015
aws-sdk-pi,1.98.0,45056,0.045,99,99,4460544,0.0045
falcon,0.57.0,45056,0.045,175,175,7884800,0.0079
google-gax,1.8.2,45056,0.045,42,42,1892352,0.0019
aws-sdk-servicequotas,1.76.0,45056,0.045,77,77,3469312,0.0035
aws-sdk-chimesdkmeetings,1.68.0,45056,0.045,69,69,3108864,0.0031
serverengine,2.4.0,45056,0.045,63,57,2838528,0.0028
aws-sdk-braket,1.74.0,45056,0.045,75,75,3379200,0.0034
aws-sdk-iotthingsgraph,1.73.0,45056,0.045,74,74,3334144,0.0033
aws-sdk-cognitoidentity,1.91.0,45056,0.045,109,96,4911104,0.0049
simple_po_parser,1.1.6,44544,0.045,9,9,400896,0.0004
aws-sdk-qldb,1.67.0,44544,0.045,68,68,3028992,0.003
citeproc,1.1.0,44544,0.045,30,18,1336320,0.0013
aws-sdk-kinesisvideoarchivedmedia,1.92.0,44544,0.045,93,93,4142592,0.0041
hotwire_combobox,0.4.1,44544,0.045,53,53,2360832,0.0024
aws-sdk-dax,1.89.0,44544,0.045,97,91,4320768,0.0043
google-apis-cloudresourcemanager_v3,0.63.0,44544,0.045,63,63,2806272,0.0028
gitlab-chronic,0.10.6,44544,0.045,4,4,178176,0.0002
asciidoctor-kroki,1.0.1,44544,0.045,22,18,979968,0.001
simpleidn,0.3.0,44544,0.045,14,14,623616,0.0006
dependabot-cargo,0.395.0,44544,0.045,1110,1109,49443840,0.0494
auth-sanitizer,0.2.3,44544,0.045,10,10,445440,0.0004
fluent-plugin-s3,1.8.6,44544,0.045,99,89,4409856,0.0044
sys-filesystem,1.6.0,44544,0.045,46,46,2049024,0.002
scenic,1.9.0,44544,0.045,21,21,935424,0.0009
aws-sdk-ecrpublic,1.68.0,44544,0.045,69,69,3073536,0.0031
activeresource,6.2.0,44544,0.045,160,100,7127040,0.0071
gitlab-experiment,2.0.0,44544,0.045,42,42,1870848,0.0019
honeycomb-beeline,3.1.0,44032,0.044,46,38,2025472,0.002
rex-text,0.2.64,44032,0.044,67,67,2950144,0.003
aws-sdk-dlm,1.105.0,44032,0.044,107,107,4711424,0.0047
zeitwerk,2.8.3,44032,0.044,77,66,3390464,0.0034
aws-sdk-kafkaconnect,1.61.0,44032,0.044,62,62,2729984,0.0027
fakeredis,0.9.2,44032,0.044,23,23,1012736,0.001
meta-tags,2.24.0,44032,0.044,45,44,1981440,0.002
app_store_connect,0.38.0,44032,0.044,40,40,1761280,0.0018
flag_shih_tzu,1.0.5,44032,0.044,32,31,1409024,0.0014
aws-sdk-comprehendmedical,1.85.0,44032,0.044,85,85,3742720,0.0037
pact-support,1.21.7,44032,0.044,114,108,5019648,0.005
webauthn,3.4.3,44032,0.044,45,42,1981440,0.002
ronn-ng,0.10.1,43520,0.044,15,7,652800,0.0007
activejob,8.1.3,43520,0.044,269,187,11706880,0.0117
tokenizers,0.7.0,43520,0.044,166,166,7224320,0.0072
ruby-oembed,0.18.1,43520,0.044,29,29,1262080,0.0013
aws-sdk-ssmsap,1.56.0,43520,0.044,57,57,2480640,0.0025
aws-sdk-privatenetworks,1.33.0,43520,0.044,34,34,1479680,0.0015
easypost,7.7.0,43520,0.044,101,101,4395520,0.0044
ruby-ll,2.2.0,43008,0.043,24,24,1032192,0.001
aws-sdk-redshiftdataapiservice,1.78.0,43008,0.043,79,79,3397632,0.0034
chef-winrm,2.5.0,43008,0.043,6,6,258048,0.0003
hashery,2.1.2,43008,0.043,11,11,473088,0.0005
acts_as_api,1.0.1,43008,0.043,27,27,1161216,0.0012
knapsack_pro,10.0.1,43008,0.043,218,218,9375744,0.0094
aws-sdk-codestarconnections,1.77.0,43008,0.043,78,78,3354624,0.0034
airbrake-ruby,6.2.2,43008,0.043,181,163,7784448,0.0078
chronic,0.10.2,43008,0.043,33,33,1419264,0.0014
rbnacl,7.1.2,43008,0.043,24,21,1032192,0.001
delayed_job,4.2.0,43008,0.043,59,46,2537472,0.0025
gemoji,4.1.0,43008,0.043,25,19,1075200,0.0011
psych,5.5.0,43008,0.043,157,122,6752256,0.0068
winrm,2.3.9,43008,0.043,66,57,2838528,0.0028
google-apis-calendar_v3,0.57.0,43008,0.043,57,57,2451456,0.0025
ruby-mysql,4.2.1,43008,0.043,24,24,1032192,0.001
google-apis-gmail_v1,0.53.0,42496,0.042,53,53,2252288,0.0023
ruby-openai,8.3.0,42496,0.042,61,61,2592256,0.0026
aws-sdk-identitystore,1.72.0,42496,0.042,73,73,3102208,0.0031
optparse,0.8.1,42496,0.042,11,11,467456,0.0005
oauth-tty,1.0.13,42496,0.042,14,14,594944,0.0006
cgi,0.5.2,41984,0.042,41,34,1721344,0.0017
mime-types,3.7.0,41984,0.042,49,46,2057216,0.0021
vcr,6.4.0,41984,0.042,72,68,3022848,0.003
aws-sdk-honeycode,1.32.0,41984,0.042,33,33,1385472,0.0014
gitlab-mail_room,1.1.0,41984,0.042,28,28,1175552,0.0012
actiontext,8.1.3,41984,0.042,153,125,6423552,0.0064
geokit-rails,2.5.0,41984,0.042,10,9,419840,0.0004
rex-socket,0.1.71,41984,0.042,72,72,3022848,0.003
optimist,3.2.1,41984,0.042,5,5,209920,0.0002
page-object,2.3.1,41472,0.041,87,87,3608064,0.0036
amatch,0.7.0,41472,0.041,24,24,995328,0.001
aws-sdk-arczonalshift,1.51.0,41472,0.041,52,52,2156544,0.0022
aws-sdk-health,1.102.0,41472,0.041,116,104,4810752,0.0048
closure_tree,9.8.0,41472,0.041,98,89,4064256,0.0041
vault,0.20.1,41472,0.041,34,34,1410048,0.0014
digest,3.2.1,41472,0.041,17,10,705024,0.0007
typelizer,0.13.1,41472,0.041,30,30,1244160,0.0012
mqtt,0.7.0,41472,0.041,16,16,663552,0.0007
aws-sdk-lex,1.96.0,41472,0.041,107,97,4437504,0.0044
prometheus_exporter,2.3.1,41472,0.041,64,64,2654208,0.0027
paypal-sdk-core,0.3.6,41472,0.041,24,24,995328,0.001
hashicorp-checkpoint,0.1.6,40960,0.041,7,7,286720,0.0003
rufus-scheduler,3.9.2,40960,0.041,82,82,3358720,0.0034
scrypt,3.1.0,40960,0.041,24,24,983040,0.001
pact-mock_service,3.12.4,40960,0.041,91,88,3727360,0.0037
hiera,3.12.0,40960,0.041,80,67,3276800,0.0033
serverspec,2.43.0,40960,0.041,301,280,12328960,0.0123
google-apis-cloudbilling_v1,0.41.0,40960,0.041,41,41,1679360,0.0017
busser,0.9.2,40960,0.041,20,18,819200,0.0008
omniauth-auth0,3.2.0,40960,0.041,23,23,942080,0.0009
aws-sdk-route53recoverycontrolconfig,1.60.0,40960,0.041,61,61,2498560,0.0025
factory_girl,4.9.0,40960,0.041,70,59,2867200,0.0029
enumerize,3.0.0,40960,0.041,41,41,1679360,0.0017
rspec-support,3.13.7,40960,0.041,53,43,2170880,0.0022
sinon-rails,1.15.0,40448,0.04,8,8,323584,0.0003
google-apis-dns_v1,0.55.0,40448,0.04,55,55,2224640,0.0022
gitlab-grape-openapi,0.5.0,40448,0.04,10,10,404480,0.0004
google-apis-core,1.2.5,40448,0.04,43,43,1739264,0.0017
aws-sdk-appintegrationsservice,1.72.0,40448,0.04,73,73,2952704,0.003
rolify,6.0.1,40448,0.04,42,37,1698816,0.0017
ethon,0.18.0,40448,0.04,46,46,1860608,0.0019
snaky_hash,2.0.7,40448,0.04,9,9,364032,0.0004
rspec-openapi,0.33.1,40448,0.04,86,86,3478528,0.0035
remotipart,1.4.4,40448,0.04,27,27,1092096,0.0011
mysql,2.9.1,39936,0.04,14,14,559104,0.0006
rails-controller-testing,1.0.5,39936,0.04,10,10,399360,0.0004
servolux,0.13.0,39936,0.04,23,23,918528,0.0009
google-apis-cloudresourcemanager_v1,0.45.0,39936,0.04,45,45,1797120,0.0018
solargraph-rails,1.3,39936,0.04,21,15,838656,0.0008
aws-sdk-datapipeline,1.85.0,39936,0.04,98,87,3913728,0.0039
selectize-rails,0.12.6,39936,0.04,28,28,1118208,0.0011
aws-sdk-chimesdkidentity,1.60.0,39936,0.04,61,61,2436096,0.0024
blade-qunit_adapter,2.0.1,39936,0.04,6,6,239616,0.0002
zlib,3.2.3,39424,0.039,16,16,630784,0.0006
gepub,2.0.1,39424,0.039,74,68,2917376,0.0029
aws-sdk-cloudhsmv2,1.94.0,39424,0.039,96,95,3784704,0.0038
archive-zip,0.13.1,39424,0.039,16,15,630784,0.0006
crystalball,0.7.0,39424,0.039,3,3,118272,0.0001
gemoji-parser,1.3.1,39424,0.039,5,5,197120,0.0002
audits1984,0.1.7,39424,0.039,8,8,315392,0.0003
aws-sdk-schemas,1.70.0,39424,0.039,71,71,2799104,0.0028
aws-sdk-mediapackagevod,1.88.0,39424,0.039,89,89,3508736,0.0035
wicked_pdf,2.8.2,39424,0.039,49,49,1931776,0.0019
typhoeus,1.6.0,39424,0.039,77,73,3035648,0.003
chef-handler-datadog,0.16.0,38912,0.039,34,33,1323008,0.0013
dry-monads,1.10.0,38912,0.039,34,30,1323008,0.0013
aws-sdk-scheduler,1.49.0,38912,0.039,50,50,1945600,0.0019
aws-sdk-licensemanagerusersubscriptions,1.54.0,38912,0.039,55,55,2140160,0.0021
lz4-ruby,0.3.3,38912,0.039,24,24,933888,0.0009
azure-storage-blob,2.0.3,38912,0.039,7,7,272384,0.0003
aws-sdk-rolesanywhere,1.55.0,38912,0.039,56,56,2179072,0.0022
whenever,1.1.2,38912,0.039,35,35,1361920,0.0014
hanami-view,3.0.2,38912,0.039,53,24,2062336,0.0021
minitest-mock,5.27.0,38400,0.038,2,1,76800,0.0001
console,1.37.0,38400,0.038,89,89,3417600,0.0034
aws-sdk-connectparticipant,1.82.0,38400,0.038,83,83,3187200,0.0032
aws-sdk-serverlessapplicationrepository,1.93.0,38400,0.038,94,94,3609600,0.0036
sentry-sidekiq,7.0.0,38400,0.038,102,99,3916800,0.0039
aws-sdk-resourcegroupstaggingapi,1.99.0,38400,0.038,111,101,4262400,0.0043
fastlane-sirp,1.1.0,38400,0.038,2,2,76800,0.0001
aws-sdk-appregistry,1.66.0,38400,0.038,67,67,2572800,0.0026
aws-sdk-docdbelastic,1.48.0,38400,0.038,49,49,1881600,0.0019
activerecord-import,2.3.0,38400,0.038,81,78,3110400,0.0031
ipaddress,0.8.3,38400,0.038,7,7,268800,0.0003
aws-sdk-migrationhub,1.90.0,38400,0.038,93,92,3571200,0.0036
json_skooma,0.2.7,38400,0.038,9,9,345600,0.0003
secure_headers,7.3.0,37888,0.038,114,98,4319232,0.0043
exception_notification,5.0.1,37888,0.038,36,29,1363968,0.0014
jaeger-client,1.3.0,37888,0.038,18,18,681984,0.0007
roar,1.2.0,37888,0.038,51,48,1932288,0.0019
aws-sdk-backupgateway,1.56.0,37888,0.038,57,57,2159616,0.0022
sorbet,0.6.13486,37888,0.038,1923,1922,72858624,0.0729
io-like,0.4.0,37376,0.037,6,5,224256,0.0002
unparser,0.9.0,37376,0.037,81,81,3027456,0.003
libhoney,2.4.0,37376,0.037,48,46,1794048,0.0018
uri,1.1.1,37376,0.037,28,28,1046528,0.001
commander-fastlane,4.4.6,37376,0.037,4,4,149504,0.0001
zendesk_api,3.1.2,37376,0.037,150,139,5606400,0.0056
json_schema,0.21.0,37376,0.037,73,73,2728448,0.0027
paper_trail,17.0.0,37376,0.037,122,115,4559872,0.0046
spectrum-rails,1.8.1,37376,0.037,11,11,411136,0.0004
alba,4.0.0,37376,0.037,58,58,2167808,0.0022
protobug_well_known_protos,0.2.0,37376,0.037,2,2,74752,0.0001
sneakers,2.12.0,37376,0.037,32,29,1196032,0.0012
omniauth-google-oauth2,1.2.3,36864,0.037,64,64,2359296,0.0024
loofah,2.25.2,36864,0.037,65,61,2396160,0.0024
kubeclient,4.13.0,36864,0.037,77,77,2838528,0.0028
carrierwave_direct,3.0.0,36864,0.037,21,21,774144,0.0008
anycable-core,1.6.4,36864,0.037,34,26,1253376,0.0013
annotate,3.2.0,36864,0.037,29,24,1069056,0.0011
mini_portile2,2.8.9,36864,0.037,29,23,1069056,0.0011
aws-sdk-autoscalingplans,1.89.0,36864,0.037,90,90,3317760,0.0033
doorkeeper-openid_connect,1.10.5,36864,0.037,45,43,1658880,0.0017
pcaprub,0.13.3,36864,0.037,21,21,774144,0.0008
packwerk,3.3.1,36864,0.037,28,28,1032192,0.001
html-pipeline,3.2.4,36352,0.036,80,75,2908160,0.0029
aws-sdk-ivschat,1.60.0,36352,0.036,61,61,2217472,0.0022
aws-sdk-worklink,1.55.0,36352,0.036,56,56,2035712,0.002
aws-sdk-cloudcontrolapi,1.56.0,36352,0.036,57,57,2072064,0.0021
aws-sdk-route53recoveryreadiness,1.58.0,36352,0.036,59,59,2144768,0.0021
aws-sdk-cloudsearchdomain,1.74.0,36352,0.036,89,77,3235328,0.0032
gitlab-markup,2.1.0,36352,0.036,17,16,617984,0.0006
signet,0.22.0,36352,0.036,50,50,1817600,0.0018
tpm-key_attestation,0.14.2,36352,0.036,18,18,654336,0.0007
selma,0.5.2,36352,0.036,194,194,7052288,0.0071
rubyntlm,0.6.5,36352,0.036,18,18,654336,0.0007
aws-sdk-rdsdataservice,1.90.0,36352,0.036,91,91,3308032,0.0033
rake-compiler,1.3.1,35840,0.036,60,59,2150400,0.0022
capybara-screenshot,1.0.27,35840,0.036,63,63,2257920,0.0023
