package,version,bytes,size_mb,version_count,stable_versions,all_versions_bytes_est,all_versions_gb_est
ruby_parser,3.22.0,827392,0.827,80,70,66191360,0.0662
logster,2.21.0,818176,0.818,114,98,93272064,0.0933
herb,0.10.3,817152,0.817,436,436,356278272,0.3563
fastly,17.1.0,816128,0.816,105,98,85693440,0.0857
metasm,1.0.6,808448,0.808,7,7,5659136,0.0057
activemerchant,1.137.0,797696,0.798,178,178,141989888,0.142
yard,0.9.45,792576,0.793,100,99,79257600,0.0793
puppet_forge,6.2.0,777216,0.777,43,42,33420288,0.0334
packetfu,2.0.0,777216,0.777,21,15,16321536,0.0163
aws-sdk-v1,1.67.0,763904,0.764,19,19,14514176,0.0145
shopify_api,16.3.0,760320,0.76,139,139,105684480,0.1057
rails_admin,3.3.0,736256,0.736,73,59,53746688,0.0537
rdoc,8.0.0,734720,0.735,126,109,92574720,0.0926
aws-sdk-rds,1.321.0,690176,0.69,341,323,235350016,0.2354
font-awesome-sass,6.7.2,687616,0.688,57,57,39194112,0.0392
angularjs-rails,1.8.0,679424,0.679,63,60,42803712,0.0428
react-rails,3.3.1,675328,0.675,68,63,45922304,0.0459
sequel,5.108.0,672256,0.672,309,309,207727104,0.2077
google-cloud-dialogflow-v2,1.17.1,668160,0.668,81,81,54120960,0.0541
aws-sdk-quicksight,1.196.0,656384,0.656,198,198,129964032,0.13
prism,1.9.0,650240,0.65,33,33,21457920,0.0215
graphiql-rails,1.10.5,640000,0.64,29,29,18560000,0.0186
font-awesome-rails,4.7.0.1,637952,0.638,44,44,28069888,0.0281
google-apis-compute_v1,0.154.0,635904,0.636,154,154,97929216,0.0979
jekyll-theme-leap-day,0.2.0,630784,0.631,7,7,4415488,0.0044
cld3,3.7.0,624640,0.625,22,22,13742080,0.0137
state_machine,1.2.0,604160,0.604,44,44,26583040,0.0266
aws-sdk-s3,1.229.0,603648,0.604,309,294,186527232,0.1865
knapsack,4.0.0,595456,0.595,59,59,35131904,0.0351
