gem,versions_counted,first_version,last_version,functions_first,functions_last,functions_ruby_last,functions_native_last,functions_public_last,functions_private_last,functions_protected_last,functions_added_total,functions_removed_total,max_abs_drift,rb_files_last,native_files_last,native_languages,lines_code_last,gem_bytes_last,parse_errors_last,net_change
js-routes,1,2.4.1,2.4.1,156.0,156.0,156.0,0.0,96.0,0.0,60.0,156.0,0.0,0.0,14.0,0.0,,997.0,35328.0,0.0,0.0
js_cookie_rails,1,2.2.0,2.2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,10.0,9216.0,0.0,0.0
js_image_paths,1,0.2.0,0.2.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,,46.0,6144.0,0.0,0.0
js_regex,1,3.14.0,3.14.0,177.0,177.0,178.0,0.0,63.0,114.0,0.0,177.0,0.0,0.0,25.0,0.0,,1198.0,18432.0,0.0,0.0
jsbundling-rails,1,1.3.1,1.3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,123.0,10752.0,0.0,0.0
jschematic,1,0.1.0,0.1.0,122.0,122.0,122.0,0.0,116.0,6.0,0.0,122.0,0.0,0.0,35.0,0.0,,856.0,19456.0,0.0,0.0
jsobfu,1,0.4.2,0.4.2,129.0,129.0,129.0,0.0,126.0,0.0,3.0,129.0,0.0,0.0,8.0,0.0,,779.0,27648.0,0.0,0.0
json,1,3.0.0,3.0.0,166.0,166.0,112.0,56.0,156.0,10.0,0.0,166.0,0.0,0.0,9.0,5.0,c,1055.0,104448.0,0.0,0.0
json-canonicalization,1,1.0.0,1.0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,,83.0,10240.0,0.0,0.0
json-diff,1,0.4.1,0.4.1,17.0,17.0,17.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,,321.0,12288.0,0.0,0.0
json-jwt,1,1.17.2,1.17.2,116.0,116.0,116.0,0.0,86.0,30.0,0.0,116.0,0.0,0.0,8.0,0.0,,979.0,14336.0,0.0,0.0
json-ld,1,3.3.2,3.3.2,310.0,310.0,311.0,0.0,271.0,32.0,7.0,310.0,0.0,0.0,21.0,0.0,,5586.0,94208.0,0.0,0.0
