package,version,status,asset_kind,tfm,assembly,assembly_bytes,bytes_fetched,nupkg_bytes,public_types,methods_public,properties,events,ctors,operators,api_total,methods_private,methods_protected,methods_internal,m_static,m_virtual,m_abstract,m_sealed,m_generic,t_interface,t_abstract,t_sealed,fields_public,all_types,methoddef_rows,typedef_rows
Microsoft.NET.Sdk.Android.Manifest-7.0.100.Msi.x64,33.0.95,metapackage,,,,,65558.0,332293.0,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.tvOS.Manifest-7.0.100.Msi.x64,16.4.7142,metapackage,,,,,65558.0,369666.0,,,,,,,,,,,,,,,,,,,,,,
xunit.v3.extensibility.core,4.0.0,ok,,netstandard2.0,lib/netstandard2.0/xunit.v3.core.dll,646920.0,345434.0,381967.0,336.0,757.0,721.0,0.0,345.0,16.0,1478.0,,,,,,,,,,,,,,2968.0,605.0
Microsoft.NET.Workload.Mono.ToolChain.net6.Manifest-7.0.100.Msi.x64,7.0.20,metapackage,,,,,65558.0,389664.0,,,,,,,,,,,,,,,,,,,,,,
xunit.v3.common,4.0.0,ok,,netstandard2.0,lib/netstandard2.0/xunit.v3.common.dll,200456.0,176317.0,169357.0,135.0,264.0,138.0,0.0,16.0,0.0,402.0,,,,,,,,,,,,,,872.0,223.0
Microsoft.NET.Sdk.Maui.Manifest-7.0.100.Msi.x64,7.0.101,metapackage,,,,,65558.0,333641.0,,,,,,,,,,,,,,,,,,,,,,
Microsoft.AspNetCore.Localization.Routing,2.3.12,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.AspNetCore.Localization.Routing.dll,16696.0,49608.0,38955.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,,,,,,,,,,,,,,6.0,2.0
Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-7.0.100.Msi.x64,7.0.20,metapackage,,,,,65558.0,390110.0,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Emscripten.net6.Manifest-7.0.100.Msi.x64,7.0.20,metapackage,,,,,65558.0,370314.0,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Emscripten.net7.Manifest-7.0.100.Msi.x64,7.0.20,metapackage,,,,,65558.0,371040.0,,,,,,,,,,,,,,,,,,,,,,
Xamarin.AndroidX.Lifecycle.ViewModelSavedState,2.11.0.1,ok,,net10.0-android36.0,lib/net10.0-android36.0/Xamarin.AndroidX.Lifecycle.ViewModelSavedState.dll,15672.0,75333.0,79688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,1.0
Microsoft.AspNet.WebApi.HelpPage,5.3.0,metapackage,,,,,65558.0,78481.0,,,,,,,,,,,,,,,,,,,,,,
Microsoft.Azure.Functions.Worker.Extensions.Timer,4.3.1,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.Azure.Functions.Worker.Extensions.Timer.dll,29120.0,73404.0,52881.0,3.0,0.0,8.0,0.0,3.0,0.0,8.0,,,,,,,,,,,,,,32.0,11.0
Roslynator.Analyzers,5.0.0,tools_only,,,,,65558.0,2439932.0,,,,,,,,,,,,,,,,,,,,,,
Microsoft.Azure.Functions.Worker.ApplicationInsights,2.51.0,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.Azure.Functions.Worker.ApplicationInsights.dll,48440.0,94275.0,63221.0,1.0,1.0,7.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,81.0,24.0
Microsoft.TestPlatform.AdapterUtilities,18.9.0,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.TestPlatform.AdapterUtilities.dll,42848.0,94054.0,668221.0,7.0,10.0,22.0,0.0,4.0,0.0,32.0,,,,,,,,,,,,,,93.0,30.0
Handlebars.Net.Helpers.Core,2.5.5,ok,,netstandard2.1,lib/netstandard2.1/HandlebarsDotNet.Helpers.Core.dll,40448.0,86115.0,179743.0,24.0,51.0,32.0,0.0,17.0,0.0,83.0,,,,,,,,,,,,,,237.0,51.0
Microsoft.AspNetCore.Authentication.Negotiate,10.0.11,ok,,net10.0,lib/net10.0/Microsoft.AspNetCore.Authentication.Negotiate.dll,54568.0,92461.0,69493.0,11.0,17.0,31.0,0.0,10.0,0.0,48.0,,,,,,,,,,,,,,154.0,36.0
FluentFTP,54.2.0,ok,,netstandard2.1,lib/netstandard2.1/FluentFTP.dll,511488.0,257441.0,1830708.0,123.0,796.0,374.0,12.0,85.0,0.0,1182.0,,,,,,,,,,,,,,2516.0,465.0
Unity.Container,5.11.11,ok,,netstandard2.0,lib/netstandard2.0/Unity.Container.dll,148480.0,124032.0,867715.0,72.0,162.0,131.0,11.0,64.0,2.0,304.0,,,,,,,,,,,,,,884.0,182.0
Handlebars.Net.Helpers,2.5.5,ok,,netstandard2.1,lib/netstandard2.1/Handlebars.Net.Helpers.dll,54272.0,91523.0,222321.0,5.0,17.0,23.0,0.0,1.0,0.0,40.0,,,,,,,,,,,,,,318.0,48.0
Magick.NET.Core,14.16.0,ok,,netstandard20,lib/netstandard20/Magick.NET.Core.dll,1534640.0,1104758.0,2270476.0,268.0,1140.0,1002.0,4.0,92.0,35.0,2146.0,,,,,,,,,,,,,,2785.0,347.0
AspNetCore.HealthChecks.Rabbitmq,9.0.0,ok,,netstandard2.0,lib/netstandard2.0/HealthChecks.Rabbitmq.dll,17920.0,59841.0,46893.0,2.0,3.0,1.0,0.0,2.0,0.0,4.0,,,,,,,,,,,,,,21.0,14.0
HotChocolate.AspNetCore,16.6.3,ok,,net11.0,lib/net11.0/HotChocolate.AspNetCore.dll,40448.0,81410.0,103535.0,2.0,25.0,44.0,0.0,0.0,0.0,69.0,,,,,,,,,,,,,,159.0,35.0
Microsoft.Azure.WebJobs.Extensions.Storage,5.3.9,metapackage,,,,,34937.0,34937.0,,,,,,,,,,,,,,,,,,,,,,
Microsoft.AspNetCore.DataProtection.EntityFrameworkCore,10.0.11,ok,,net10.0,lib/net10.0/Microsoft.AspNetCore.DataProtection.EntityFrameworkCore.dll,24360.0,67724.0,53478.0,4.0,3.0,6.0,0.0,2.0,0.0,9.0,,,,,,,,,,,,,,31.0,9.0
Microsoft.Azure.DurableTask.Core,3.9.0,ok,,netstandard2.0,lib/netstandard2.0/DurableTask.Core.dll,441144.0,277560.0,297394.0,185.0,370.0,751.0,0.0,207.0,0.0,1121.0,,,,,,,,,,,,,,2526.0,404.0
Microsoft.OpenApi.Readers,1.6.31,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.OpenApi.Readers.dll,162104.0,132333.0,162123.0,14.0,21.0,75.0,0.0,14.0,0.0,96.0,,,,,,,,,,,,,,924.0,85.0
SpecFlow.Internal.Json,1.0.8,ok,,netstandard2.0,lib/netstandard2.0/SpecFlow.Internal.Json.dll,18432.0,39638.0,30248.0,4.0,5.0,2.0,0.0,2.0,0.0,7.0,,,,,,,,,,,,,,20.0,6.0
HotChocolate.Subscriptions.InMemory,16.6.3,ok,,net11.0,lib/net11.0/HotChocolate.Subscriptions.InMemory.dll,10240.0,49313.0,44267.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,17.0,6.0
Microsoft.NETCore.App.Host.linux-arm64,10.0.11,metapackage,,,,,65558.0,5309010.0,,,,,,,,,,,,,,,,,,,,,,
Microsoft.Owin.Hosting,4.2.3,ok,,net45,lib/net45/Microsoft.Owin.Hosting.dll,80928.0,112524.0,85549.0,36.0,65.0,56.0,0.0,21.0,0.0,121.0,,,,,,,,,,,,,,340.0,77.0
System.Web.Services.Description,10.0.652802,ok,,netstandard2.0,ref/netstandard2.0/System.Web.Services.Description.dll,42056.0,86077.0,306031.0,70.0,156.0,150.0,0.0,59.0,0.0,306.0,,,,,,,,,,,,,,463.0,71.0
OpenAI,2.13.0,ok,,netstandard2.0,lib/netstandard2.0/OpenAI.dll,5201872.0,1290334.0,3942779.0,672.0,3090.0,6061.0,2.0,633.0,483.0,9153.0,,,,,,,,,,,,,,30412.0,3172.0
Microsoft.Owin.Security.Jwt,4.2.3,ok,,net45,lib/net45/Microsoft.Owin.Security.Jwt.dll,30256.0,74194.0,54840.0,6.0,3.0,22.0,0.0,11.0,0.0,25.0,,,,,,,,,,,,,,54.0,9.0
SQLitePCLRaw.lib.e_sqlite3.linux,1.1.14,metapackage,,,,,65558.0,3653966.0,,,,,,,,,,,,,,,,,,,,,,
SQLitePCLRaw.lib.e_sqlite3.v110_xp,1.1.15,native_only,,,,,65558.0,2151896.0,,,,,,,,,,,,,,,,,,,,,,
SQLitePCLRaw.lib.e_sqlite3.osx,1.1.14,metapackage,,,,,65558.0,830692.0,,,,,,,,,,,,,,,,,,,,,,
