package,version,status,asset_kind,tfm,assembly,assembly_bytes,bytes_fetched,nupkg_bytes,public_types,methods_public,properties,events,ctors,operators,api_total,methods_private,methods_protected,methods_internal,m_static,m_virtual,m_abstract,m_sealed,m_generic,t_interface,t_abstract,t_sealed,fields_public,all_types,methoddef_rows,typedef_rows
toastr,2.1.1,metapackage,,,,,30311,30311,,,,,,,,,,,,,,,,,,,,,,
Antlr4.CodeGenerator,4.6.6,ok,tools,,tools/netstandard/Antlr4.dll,552448,254994,2172565,232,1149,71,0,303,0,1220,381,203,57,62,1122,109,24,0,9,24,11,2406,279,2044,279
Avalonia.BuildServices,11.3.2,ok,tools,,tools/netstandard2.0/Avalonia.BuildServices.dll,67584,95369,68329,10,10,103,0,5,0,113,47,0,57,8,5,0,5,0,0,1,4,278,59,343,59
Microsoft.NET.Sdk.Maui.Manifest-6.0.200,6.0.200-preview.14.5099,metapackage,,,,,22072,22072,,,,,,,,,,,,,,,,,,,,,,
Husky,0.9.1,ok,tools,,tools/net8.0/any/CliFx.dll,171520,184268,19171984,24,121,184,0,25,0,305,157,6,58,10,133,26,47,0,3,6,5,253,116,719,116
Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.100,15.0.101-preview.11.551,metapackage,,,,,23315,23315,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.iOS.Manifest-6.0.100,15.0.101-preview.11.551,metapackage,,,,,23361,23361,,,,,,,,,,,,,,,,,,,,,,
Microsoft.CodeAnalysis.PublicApiAnalyzers,5.6.0,ok,analyzers,,analyzers/dotnet/Microsoft.CodeAnalysis.PublicApiAnalyzers.dll,1869608,727775,951120,112,316,1307,0,62,7,1623,2556,291,1252,64,170,0,127,0,0,8,106,5160,1453,10215,1453
IronPython.StdLib,3.4.2,metapackage,,,,,173321,10093426,,,,,,,,,,,,,,,,,,,,,,
Microsoft.CrmSdk.CoreTools,9.1.0.179,ok,content,,content/bin/coretools/System.Memory.dll,142240,125947,2916783,29,283,71,0,21,17,354,164,12,67,221,37,13,4,0,3,15,23,273,76,703,76
Microsoft.ClearScript.V8.Native.osx-arm64,7.5.1.1,metapackage,,,,,65558,11086480,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.tvOS.Manifest-6.0.100,15.0.101-preview.11.551,metapackage,,,,,23269,23269,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.Android.Manifest-6.0.100,31.0.101-preview.11.117,metapackage,,,,,29832,29832,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.iOS.Manifest-6.0.200,15.2.302-preview.14.122,metapackage,,,,,23370,23370,,,,,,,,,,,,,,,,,,,,,,
MassTransit.Analyzers,8.5.10,ok,analyzers,,analyzers/dotnet/cs/MassTransit.Analyzers.dll,78336,108007,72857,7,29,10,0,6,0,39,81,0,37,20,12,0,3,0,0,1,1,165,54,202,54
Microsoft.NET.Sdk.Android.Manifest-6.0.200,31.0.200-preview.14.106,metapackage,,,,,29798,29798,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.macOS.Manifest-6.0.100,12.0.101-preview.11.551,metapackage,,,,,23275,23275,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.macOS.Manifest-6.0.200,12.1.302-preview.14.122,metapackage,,,,,23276,23276,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.200,15.2.302-preview.14.122,metapackage,,,,,23316,23316,,,,,,,,,,,,,,,,,,,,,,
Microsoft.ML.OnnxRuntime,,error:ValueError,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.tvOS.Manifest-6.0.200,15.2.302-preview.14.122,metapackage,,,,,23277,23277,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.Maui.Manifest-6.0.100,6.0.101-preview.11.2349,metapackage,,,,,22077,22077,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.iOS.Manifest-8.0.100-rc.1,16.4.8825-net8-rc1,metapackage,,,,,27631,27631,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.Android.Manifest-8.0.100-rc.1,34.0.0-rc.1.432,metapackage,,,,,33946,33946,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.Maui.Manifest-8.0.100-rc.1,8.0.0-rc.1.9171,metapackage,,,,,35612,35612,,,,,,,,,,,,,,,,,,,,,,
Microsoft.ApplicationInsights.JavaScript,1.0.20-build00666,metapackage,,,,,65558,95220,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.macOS.Manifest-8.0.100-rc.1,13.3.8825-net8-rc1,metapackage,,,,,27546,27546,,,,,,,,,,,,,,,,,,,,,,
Avalonia.Angle.Windows.Natives,,error:ValueError,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.tvOS.Manifest-8.0.100-rc.1,16.4.8825-net8-rc1,metapackage,,,,,27543,27543,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100-rc.1,16.4.8825-net8-rc1,metapackage,,,,,27576,27576,,,,,,,,,,,,,,,,,,,,,,
MSBuildTasks,1.5.0.235,ok,tools,,tools/MSBuild.Community.Tasks.dll,869888,483676,540611,160,276,1440,6,152,2,1722,572,226,361,13,288,17,22,0,5,13,13,2233,342,4090,342
Microsoft.NETFramework.ReferenceAssemblies.net481,1.0.3,ok,build,,build/.NETFramework/v4.8.1/System.dll,1474464,564374,20342378,1026,3266,3739,112,1343,14,7117,845,1084,3446,572,2661,687,262,0,84,165,469,9225,2047,14629,2047
Microsoft.Packaging.Tools,1.0.0-preview2-25401-01,ok,build,,build/System.Reflection.Metadata.dll,428784,236240,552060,195,428,808,0,20,224,1236,614,42,863,299,227,0,139,0,0,4,194,2941,510,3253,510
ChilkatNativeLib,,error:ValueError,,,,,,,,,,,,,,,,,,,,,,,,,,,,
