package,version,status,asset_kind,tfm,assembly,assembly_bytes,bytes_fetched,nupkg_bytes,public_types,methods_public,properties,events,ctors,operators,api_total,methods_private,methods_protected,methods_internal,m_static,m_virtual,m_abstract,m_sealed,m_generic,t_interface,t_abstract,t_sealed,fields_public,all_types,methoddef_rows,typedef_rows
Microsoft.CodeAnalysis.AnalyzerUtilities,5.6.0,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.CodeAnalysis.AnalyzerUtilities.dll,2269992,872251,1464945,183,765,1653,0,97,13,2418,,,,,,,,,,,,,,12313,1747
Azure.ResourceManager.Logic,1.2.0,ok,lib,netstandard2.0,lib/netstandard2.0/Azure.ResourceManager.Logic.dll,1822016,532878,1799324,248,958,1433,0,210,114,2391,2332.0,597.0,1206.0,466.0,876.0,0.0,49.0,0.0,0.0,2.0,54.0,6379.0,1073.0,7927,1073
SharpCompress,1.0.0,ok,,netstandard2.0,lib/netstandard2.0/SharpCompress.dll,1548800,813824,3018365,465,973,1407,0,152,1,2380,,,,,,,,,,,,,,6788,1074
QuickLook.DiscUtils,1.0.0,ok,lib,netstandard2.1,lib/netstandard2.1/QuickLook.DiscUtils.dll,526336,277806,2166954,220,1350,992,9,191,18,2351,773.0,159.0,175.0,408.0,1222.0,288.0,66.0,0.0,16.0,73.0,111.0,2258.0,530.0,4277,530
Senparc.Weixin.Open,4.24.5,ok,lib,netstandard2.1,lib/netstandard2.1/Senparc.Weixin.Open.dll,607232,262955,1214166,494,674,1672,0,449,0,2346,391.0,0.0,6.0,644.0,68.0,5.0,12.0,0.0,1.0,20.0,46.0,3130.0,770.0,5002,770
Vanara.PInvoke.Security,5.0.7,ok,lib,netstandard2.1,lib/netstandard2.1/Vanara.PInvoke.Security.dll,643584,294149,9874278,718,1773,571,0,206,190,2344,292.0,48.0,81.0,1187.0,1098.0,825.0,86.0,0.0,37.0,53.0,620.0,4571.0,792.0,3312,792
Spectre.Console,0.57.2,ok,,netstandard2.0,lib/netstandard2.0/Spectre.Console.dll,1340928,750245,2238697,361,1125,1217,1,144,7,2343,,,,,,,,,,,,,,5649,969
C1.Win.FlexGrid,10.0.20261.813,ok,lib,net10.0-windows7.0,lib/net10.0-windows7.0/C1.Win.FlexGrid.10.dll,1594416,578129,5851837,195,730,1482,120,99,2,2332,1116.0,528.0,1417.0,158.0,595.0,54.0,52.0,0.0,13.0,32.0,94.0,3085.0,574.0,6056,574
Microsoft.Diagnostics.Runtime,4.0.732401,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.Diagnostics.Runtime.dll,761184,376809,1044206,243,493,1829,1,48,21,2323,,,,,,,,,,,,,,4843,773
Eto.Platform.Wpf,2.11.0,ok,lib,net10.0-windows7.0,lib/net10.0-windows7.0/Eto.Wpf.dll,865792,417349,1420271,297,1084,1206,20,246,0,2310,1089.0,340.0,416.0,233.0,1945.0,78.0,1136.0,0.0,12.0,50.0,72.0,1939.0,536.0,4986,536
Magick.NET-Q16-HDRI-arm64,14.17.1,ok,lib,netstandard20,lib/netstandard20/Magick.NET-Q16-HDRI-arm64.dll,994480,481583,36051398,195,1092,1177,7,256,31,2276,934.0,95.0,94.0,268.0,1655.0,0.0,1629.0,0.0,0.0,3.0,184.0,1407.0,459.0,5768,459
Magick.NET-Q16-x86,14.17.1,ok,lib,netstandard20,lib/netstandard20/Magick.NET-Q16-x86.dll,994992,481585,9620969,195,1092,1177,7,256,31,2276,934.0,95.0,94.0,268.0,1655.0,0.0,1629.0,0.0,0.0,3.0,184.0,1407.0,459.0,5768,459
Magick.NET-Q16-HDRI-OpenMP-x64,14.17.1,ok,lib,netstandard20,lib/netstandard20/Magick.NET-Q16-HDRI-OpenMP-x64.dll,994480,481628,43143079,195,1092,1177,7,256,31,2276,934.0,95.0,94.0,268.0,1655.0,0.0,1629.0,0.0,0.0,3.0,184.0,1407.0,459.0,5768,459
Magick.NET-Q16-HDRI-OpenMP-arm64,14.17.1,ok,lib,netstandard20,lib/netstandard20/Magick.NET-Q16-HDRI-OpenMP-arm64.dll,994992,481761,24938975,195,1092,1177,7,256,31,2276,934.0,95.0,94.0,268.0,1655.0,0.0,1629.0,0.0,0.0,3.0,184.0,1407.0,459.0,5768,459
Magick.NET-Q8-x86,14.17.1,ok,lib,netstandard20,lib/netstandard20/Magick.NET-Q8-x86.dll,992432,481212,9611397,195,1088,1177,7,256,31,2272,934.0,95.0,94.0,268.0,1651.0,0.0,1625.0,0.0,0.0,3.0,184.0,1407.0,459.0,5761,459
Google.Apis.YouTube.v3,1.76.0.4249,ok,lib,netstandard2.0,lib/netstandard2.0/Google.Apis.YouTube.v3.dll,343040,179359,672044,389,213,2045,0,342,0,2258,156.0,117.0,0.0,0.0,3857.0,0.0,0.0,0.0,0.0,2.0,48.0,2008.0,390.0,4356,390
Microsoft.PowerShell.5.ReferenceAssemblies,1.1.0,ok,lib,net4,lib/net4/Microsoft.PowerShell.Editor.dll,172032,127768,1437950,464,1230,948,75,230,48,2253,37.0,154.0,0.0,148.0,1879.0,1349.0,175.0,0.0,207.0,257.0,147.0,407.0,466.0,2744,466
GraphQL,8.8.5,ok,,netstandard2.1,lib/netstandard2.1/GraphQL.dll,1103872,581595,2555417,491,1250,997,0,442,6,2247,,,,,,,,,,,,,,5347,1063
ImGui.NET,1.91.6.1,ok,lib,netstandard2.0,lib/netstandard2.0/ImGui.NET.dll,238080,142522,4402114,166,1731,508,0,107,127,2239,2.0,0.0,6.0,1511.0,40.0,0.0,0.0,0.0,0.0,3.0,166.0,1676.0,168.0,2512,168
MailKit,4.17.0,ok,,netstandard2.1,lib/netstandard2.1/MailKit.dll,970752,395966,5882107,176,1327,841,66,250,12,2234,,,,,,,,,,,,,,5018,616
NUnit,4.6.1,ok,,net8.0,lib/net8.0/nunit.framework.dll,623104,310096,1254495,447,1245,978,6,493,8,2229,,,,,,,,,,,,,,4692,870
Xamarin.AndroidX.WebKit,1.17.0,ok,lib,net10.0-android36.0,lib/net10.0-android36.0/Xamarin.AndroidX.WebKit.dll,1062240,286404,1714982,295,600,1619,0,222,0,2219,2552.0,609.0,196.0,278.0,1124.0,354.0,13.0,0.0,107.0,160.0,37.0,1691.0,457.0,5716,457
Morestachio,5.0.1.670,ok,lib,netstandard2.1,lib/netstandard2.1/Morestachio.dll,610304,290715,2128321,324,1627,578,1,304,98,2206,702.0,171.0,555.0,545.0,1062.0,237.0,452.0,0.0,41.0,105.0,99.0,2275.0,771.0,4361,771
Microsoft.AspNetCore.Razor.Language,6.0.36,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.AspNetCore.Razor.Language.dll,1010448,413163,383124,227,557,1646,0,142,4,2203,,,,,,,,,,,,,,7190,868
Google.Protobuf,3.36.1,ok,,netstandard2.0,lib/netstandard2.0/Google.Protobuf.dll,501248,256492,730863,194,1274,904,0,164,14,2178,,,,,,,,,,,,,,3878,394
Cyqwel,0.3.0,ok,lib,net8.0,lib/net8.0/Cyqwel.dll,593920,282834,259325,192,1367,807,0,154,240,2174,863.0,436.0,463.0,340.0,1010.0,1.0,214.0,0.0,0.0,22.0,178.0,1434.0,341.0,4680,341
Azure.Storage.Blobs,12.29.2,ok,,netstandard2.1,lib/netstandard2.1/Azure.Storage.Blobs.dll,1423160,537359,2562915,163,566,1606,1,145,24,2173,,,,,,,,,,,,,,6313,1119
System.Reactive,7.0.0,ok,,netstandard2.0,ref/netstandard2.0/System.Reactive.dll,559056,211396,2863618,147,1754,400,10,86,18,2164,,,,,,,,,,,,,,6287,1015
Deedle,8.1.0,ok,lib,net10.0,lib/net10.0/Deedle.dll,2006016,1067781,1128723,210,1536,626,0,40,106,2162,1628.0,0.0,2629.0,1112.0,298.0,107.0,146.0,12.0,28.0,96.0,77.0,4040.0,2500.0,8859,2500
Microsoft.OData.Edm,9.0.0,ok,,net10.0,lib/net10.0/Microsoft.OData.Edm.dll,1208616,428783,502675,287,530,1628,0,190,0,2158,,,,,,,,,,,,,,6259,1082
