registry,package,downloads,latest_version,version_count,stable_version_count,first_release,latest_release,github_url,registry_url,doc_site_url,readme_file,has_readme,xml_doc_file,has_xml_docs,error
nuget,Microsoft.IdentityModel.Protocols,2903112266.0,8.22.0,142,125,,,https://github.com/azuread/azure-activedirectory-identitymodel-extensions-for-dotnet,https://www.nuget.org/packages/Microsoft.IdentityModel.Protocols,https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,README.md,Yes,lib/net10.0/Microsoft.IdentityModel.Protocols.xml,Yes,
nuget,System.Security.Cryptography.Primitives,2864386308.0,4.3.0,7,2,,,,https://www.nuget.org/packages/System.Security.Cryptography.Primitives,https://dot.net/,,No,,No,
nuget,System.IO.Pipelines,2847067242.0,10.0.12,141,55,,,https://github.com/dotnet/dotnet,https://www.nuget.org/packages/System.IO.Pipelines,https://dot.net/,,No,lib/net10.0/System.IO.Pipelines.xml,Yes,
nuget,runtime.native.System.Security.Cryptography.OpenSsl,2845420867.0,4.3.3,5,4,,,,https://www.nuget.org/packages/runtime.native.System.Security.Cryptography.OpenSsl,https://dot.net/,,No,,No,
nuget,Microsoft.Extensions.ObjectPool,2844415404.0,10.0.12,271,184,,,https://github.com/dotnet/aspnetcore,https://www.nuget.org/packages/Microsoft.Extensions.ObjectPool,https://asp.net/,,No,lib/net10.0/Microsoft.Extensions.ObjectPool.xml,Yes,
nuget,System.Security.Cryptography.Encoding,2834518995.0,4.3.0,14,2,,,,https://www.nuget.org/packages/System.Security.Cryptography.Encoding,https://dot.net/,,No,ref/netstandard1.3/System.Security.Cryptography.Encoding.xml,Yes,
nuget,System.Net.Primitives,2820492551.0,4.3.1,22,7,,,,https://www.nuget.org/packages/System.Net.Primitives,https://dot.net/,,No,ref/netcore50/System.Net.Primitives.xml,Yes,
nuget,System.Drawing.Common,2807606591.0,10.0.12,166,82,,,https://github.com/dotnet/winforms,https://www.nuget.org/packages/System.Drawing.Common,https://github.com/dotnet/winforms,,No,lib/net10.0/System.Drawing.Common.xml,Yes,
nuget,System.Runtime.Numerics,2790355930.0,4.3.0,14,3,,,,https://www.nuget.org/packages/System.Runtime.Numerics,https://dot.net/,,No,ref/netcore50/System.Runtime.Numerics.xml,Yes,
nuget,Microsoft.AspNetCore.Http.Features,2784314058.0,5.0.17,115,77,,,https://github.com/dotnet/aspnetcore,https://www.nuget.org/packages/Microsoft.AspNetCore.Http.Features,https://asp.net/,,No,lib/net461/Microsoft.AspNetCore.Http.Features.xml,Yes,
nuget,Microsoft.Identity.Client,2732355934.0,4.88.0,231,154,,,https://github.com/azuread/microsoft-authentication-library-for-dotnet,https://www.nuget.org/packages/Microsoft.Identity.Client,https://go.microsoft.com/fwlink/?linkid=844761,README.md,Yes,lib/net462/Microsoft.Identity.Client.xml,Yes,
nuget,runtime.rhel.7-x64.runtime.native.System.Security.Cryptography.OpenSsl,2725855453.0,4.3.3,5,4,,,,https://www.nuget.org/packages/runtime.rhel.7-x64.runtime.native.System.Security.Cryptography.OpenSsl,https://dot.net/,,No,,No,
nuget,runtime.opensuse.13.2-x64.runtime.native.System.Security.Cryptography.OpenSsl,2725854184.0,4.3.3,5,4,,,,https://www.nuget.org/packages/runtime.opensuse.13.2-x64.runtime.native.System.Security.Cryptography.OpenSsl,https://dot.net/,,No,,No,
nuget,runtime.ubuntu.16.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,2725200355.0,4.3.3,5,4,,,,https://www.nuget.org/packages/runtime.ubuntu.16.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,https://dot.net/,,No,,No,
nuget,runtime.ubuntu.14.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,2725111068.0,4.3.3,5,4,,,,https://www.nuget.org/packages/runtime.ubuntu.14.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,https://dot.net/,,No,,No,
nuget,runtime.ubuntu.16.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,2725106031.0,4.3.3,5,4,,,,https://www.nuget.org/packages/runtime.ubuntu.16.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,https://dot.net/,,No,,No,
nuget,runtime.opensuse.42.1-x64.runtime.native.System.Security.Cryptography.OpenSsl,2724961125.0,4.3.3,5,4,,,,https://www.nuget.org/packages/runtime.opensuse.42.1-x64.runtime.native.System.Security.Cryptography.OpenSsl,https://dot.net/,,No,,No,
nuget,runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,2724775383.0,4.3.3,5,4,,,,https://www.nuget.org/packages/runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,https://dot.net/,,No,,No,
nuget,runtime.fedora.23-x64.runtime.native.System.Security.Cryptography.OpenSsl,2723795305.0,4.3.3,5,4,,,,https://www.nuget.org/packages/runtime.fedora.23-x64.runtime.native.System.Security.Cryptography.OpenSsl,https://dot.net/,,No,,No,
nuget,System.Dynamic.Runtime,2723259080.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.Dynamic.Runtime,https://dot.net/,,No,ref/netcore50/System.Dynamic.Runtime.xml,Yes,
nuget,runtime.fedora.24-x64.runtime.native.System.Security.Cryptography.OpenSsl,2723026256.0,4.3.3,4,4,,,,https://www.nuget.org/packages/runtime.fedora.24-x64.runtime.native.System.Security.Cryptography.OpenSsl,https://dot.net/,,No,,No,
nuget,runtime.debian.8-x64.runtime.native.System.Security.Cryptography.OpenSsl,2722588478.0,4.3.3,5,4,,,,https://www.nuget.org/packages/runtime.debian.8-x64.runtime.native.System.Security.Cryptography.OpenSsl,https://dot.net/,,No,,No,
nuget,System.Globalization.Calendars,2672810798.0,4.3.0,14,3,,,,https://www.nuget.org/packages/System.Globalization.Calendars,https://dot.net/,,No,ref/netstandard1.3/System.Globalization.Calendars.xml,Yes,
nuget,Microsoft.Extensions.Configuration.EnvironmentVariables,2648779126.0,10.0.12,179,90,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Configuration.EnvironmentVariables,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Configuration.EnvironmentVariables.xml,Yes,
nuget,System.Security.Cryptography.OpenSsl,2629678854.0,5.0.0,49,10,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/System.Security.Cryptography.OpenSsl,https://github.com/dotnet/runtime,,No,lib/net461/System.Security.Cryptography.OpenSsl.xml,Yes,
