package,downloads,registry_name,in_stars,in_forks,in_downloads_90pct,sources
microsoft.extensions.diagnostics.abstractions,1756513994.0,Microsoft.Extensions.Diagnostics.Abstractions,False,False,True,downloads
microsoft.testplatform.testhost,1753574461.0,Microsoft.TestPlatform.TestHost,False,False,True,downloads
microsoft.extensions.logging.console,1723953785.0,Microsoft.Extensions.Logging.Console,True,True,True,stars+forks+downloads
microsoft.identity.client.extensions.msal,1711223124.0,Microsoft.Identity.Client.Extensions.Msal,True,True,True,stars+forks+downloads
castle.core,1701747433.0,Castle.Core,True,True,True,stars+forks+downloads
system.security.cryptography.xml,1673878841.0,System.Security.Cryptography.Xml,True,True,True,stars+forks+downloads
microsoft.codeanalysis.analyzers,1666605617.0,Microsoft.CodeAnalysis.Analyzers,True,True,True,stars+forks+downloads
system.collections.specialized,1625153987.0,System.Collections.Specialized,False,True,True,forks+downloads
polly,1606018783.0,Polly,True,True,True,stars+forks+downloads
microsoft.aspnetcore.authorization,1604352596.0,Microsoft.AspNetCore.Authorization,True,True,True,stars+forks+downloads
microsoft.openapi,1590495167.0,Microsoft.OpenApi,True,True,True,stars+forks+downloads
microsoft.extensions.logging.debug,1576564761.0,Microsoft.Extensions.Logging.Debug,True,True,True,stars+forks+downloads
microsoft.data.sqlclient,1550564088.0,Microsoft.Data.SqlClient,True,True,True,stars+forks+downloads
microsoft.extensions.configuration.usersecrets,1550515771.0,Microsoft.Extensions.Configuration.UserSecrets,True,True,True,stars+forks+downloads
system.threading.thread,1546088155.0,System.Threading.Thread,True,True,True,stars+forks+downloads
system.threading.channels,1543968265.0,System.Threading.Channels,True,True,True,stars+forks+downloads
microsoft.extensions.hosting,1539682912.0,Microsoft.Extensions.Hosting,True,True,True,stars+forks+downloads
microsoft.aspnetcore.jsonpatch,1521251522.0,Microsoft.AspNetCore.JsonPatch,False,True,True,forks+downloads
swashbuckle.aspnetcore.swaggergen,1510187810.0,Swashbuckle.AspNetCore.SwaggerGen,True,True,True,stars+forks+downloads
system.componentmodel.primitives,1506425971.0,System.ComponentModel.Primitives,True,True,True,stars+forks+downloads
system.componentmodel.typeconverter,1505198406.0,System.ComponentModel.TypeConverter,True,True,True,stars+forks+downloads
swashbuckle.aspnetcore.swagger,1491419534.0,Swashbuckle.AspNetCore.Swagger,False,False,True,downloads
system.formats.asn1,1480421140.0,System.Formats.Asn1,True,True,True,stars+forks+downloads
microsoft.extensions.configuration.commandline,1478165738.0,Microsoft.Extensions.Configuration.CommandLine,True,True,True,stars+forks+downloads
microsoft.dotnet.platformabstractions,1478160457.0,Microsoft.DotNet.PlatformAbstractions,True,True,True,stars+forks+downloads
system.codedom,1460392209.0,System.CodeDom,True,True,True,stars+forks+downloads
system.runtime.caching,1410754332.0,System.Runtime.Caching,True,True,True,stars+forks+downloads
google.protobuf,1405145607.0,Google.Protobuf,True,True,True,stars+forks+downloads
system.valuetuple,1384641967.0,System.ValueTuple,True,True,True,stars+forks+downloads
newtonsoft.json.bson,1377381256.0,Newtonsoft.Json.Bson,True,True,True,stars+forks+downloads
microsoft.aspnetcore.cryptography.internal,1373504107.0,Microsoft.AspNetCore.Cryptography.Internal,True,True,True,stars+forks+downloads
microsoft.extensions.logging.eventsource,1341113661.0,Microsoft.Extensions.Logging.EventSource,False,True,True,forks+downloads
system.threading.threadpool,1323560164.0,System.Threading.ThreadPool,False,False,True,downloads
microsoft.aspnetcore.authentication.jwtbearer,1306282487.0,Microsoft.AspNetCore.Authentication.JwtBearer,True,True,True,stars+forks+downloads
microsoft.applicationinsights,1299962531.0,Microsoft.ApplicationInsights,True,True,True,stars+forks+downloads
system.security.principal,1290786306.0,System.Security.Principal,False,True,True,forks+downloads
nuget.frameworks,1285455759.0,NuGet.Frameworks,True,True,True,stars+forks+downloads
swashbuckle.aspnetcore.swaggerui,1283448490.0,Swashbuckle.AspNetCore.SwaggerUI,True,True,True,stars+forks+downloads
system.security.claims,1276578916.0,System.Security.Claims,True,True,True,stars+forks+downloads
system.diagnostics.tracesource,1257432548.0,System.Diagnostics.TraceSource,True,True,True,stars+forks+downloads
system.diagnostics.performancecounter,1248736064.0,System.Diagnostics.PerformanceCounter,True,True,True,stars+forks+downloads
system.clientmodel,1237712374.0,System.ClientModel,False,True,True,forks+downloads
system.data.sqlclient,1235944295.0,System.Data.SqlClient,True,True,True,stars+forks+downloads
xunit.extensibility.core,1233317998.0,xunit.extensibility.core,True,True,True,stars+forks+downloads
microsoft.extensions.logging.eventlog,1230939250.0,Microsoft.Extensions.Logging.EventLog,True,True,True,stars+forks+downloads
