package,version,status,xml_doc,xml_bytes,readme,n_dll,n_xml,nupkg_bytes,bytes_read
Microsoft.AspNetCore.Hosting.Server.Abstractions,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Hosting.Server.Abstractions.xml,3036,,1,1,38978,38978
System.Collections.NonGeneric,4.3.0,ok,ref/netstandard1.3/System.Collections.NonGeneric.xml,151984,,4,10,239265,65558
Microsoft.Extensions.Logging.Console,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Logging.Console.xml,37382,,5,5,275453,65558
Castle.Core,5.2.1,ok,lib/net462/Castle.Core.xml,436394,readme.txt,4,4,813789,65558
Microsoft.Extensions.Logging.Configuration,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Logging.Configuration.xml,6024,,5,5,140489,65558
Microsoft.Data.SqlClient,7.0.2,ok,lib/net462/Microsoft.Data.SqlClient.xml,2261895,README.md,47,8,8357923,65558
Microsoft.Identity.Client.Extensions.Msal,4.88.0,ok,lib/net8.0/Microsoft.Identity.Client.Extensions.Msal.xml,48587,README.md,2,2,108451,65558
AWSSDK.Core,4.0.102.3,ok,lib/net472/AWSSDK.Core.xml,1309293,,4,4,2265167,65558
Microsoft.CodeAnalysis.Analyzers,5.9.0,ok,,0,documentation/readme.md,0,0,2532011,65558
Microsoft.TestPlatform.TestHost,18.9.0,ok,,0,README.md,50,0,5701178,65558
System.Memory.Data,10.0.11,ok,lib/net10.0/System.Memory.Data.xml,19962,,5,5,153204,65558
System.Security.Cryptography.Xml,10.0.11,ok,lib/net10.0/System.Security.Cryptography.Xml.xml,225719,,5,5,476741,65558
Microsoft.CodeCoverage,18.9.0,ok,,0,README.md,2,0,11261098,65558
Microsoft.Extensions.Configuration.UserSecrets,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Configuration.UserSecrets.xml,14347,,5,5,135562,65558
Microsoft.Extensions.Logging.Debug,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Logging.Debug.xml,5260,,5,5,116809,65558
System.Threading.Thread,4.3.0,ok,ref/netstandard1.3/System.Threading.Thread.xml,13591,,4,10,98902,65558
System.Collections.Specialized,4.3.0,ok,ref/netstandard1.3/System.Collections.Specialized.xml,107813,,4,10,183462,65558
Microsoft.Extensions.Hosting,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Hosting.xml,65112,,6,6,302857,65558
Microsoft.AspNetCore.Authorization,10.0.11,ok,lib/net10.0/Microsoft.AspNetCore.Authorization.xml,81518,,3,3,143575,65558
Polly,8.7.0,ok,lib/net462/Polly.xml,1066464,,4,4,768089,65558
System.ComponentModel.TypeConverter,4.3.0,ok,ref/netstandard1.0/System.ComponentModel.TypeConverter.xml,64601,,8,20,292985,65558
Azure.Identity,1.21.0,ok,lib/net10.0/Azure.Identity.xml,156,README.md,3,3,85828,65558
Swashbuckle.AspNetCore.Swagger,10.2.3,ok,lib/net10.0/Swashbuckle.AspNetCore.Swagger.xml,5878,,3,3,92741,65558
Microsoft.EntityFrameworkCore.Relational,10.0.11,ok,lib/net10.0/Microsoft.EntityFrameworkCore.Relational.xml,4838119,,1,1,1043473,65558
Swashbuckle.AspNetCore.SwaggerGen,10.2.3,ok,lib/net10.0/Swashbuckle.AspNetCore.SwaggerGen.xml,62080,,3,3,358005,65558
System.Threading.Channels,10.0.11,ok,lib/net10.0/System.Threading.Channels.xml,21430,,6,6,280241,65558
Microsoft.AspNetCore.JsonPatch,10.0.11,ok,lib/net10.0/Microsoft.AspNetCore.JsonPatch.xml,54519,,3,3,141729,65558
System.ComponentModel.Primitives,4.3.0,ok,ref/netstandard1.0/System.ComponentModel.Primitives.xml,4609,,4,10,93137,65558
Microsoft.Extensions.Configuration.CommandLine,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Configuration.CommandLine.xml,12266,,5,5,134615,65558
Microsoft.OpenApi,3.10.2,ok,lib/net8.0/Microsoft.OpenApi.xml,559415,README.md,2,2,782721,65558
System.ValueTuple,4.6.2,ok,lib/net462/System.ValueTuple.xml,85027,,2,2,86474,65558
Microsoft.EntityFrameworkCore,10.0.11,ok,lib/net10.0/Microsoft.EntityFrameworkCore.xml,8518151,,1,1,1427485,65558
Newtonsoft.Json.Bson,1.0.3,ok,lib/net45/Newtonsoft.Json.Bson.xml,38371,,3,3,240753,65558
Microsoft.AspNetCore.Cryptography.Internal,10.0.11,ok,lib/net10.0/Microsoft.AspNetCore.Cryptography.Internal.xml,8743,,3,3,114418,65558
