package,version,status,xml_doc,xml_bytes,readme,n_dll,n_xml,nupkg_bytes,bytes_read
Microsoft.NET.Sdk.Functions,4.6.0,ok,,0,,0,0,533006,65558
runtime.unix.System.Runtime.Extensions,4.3.1,ok,,0,,0,0,63231,63231
Microsoft.NET.Sdk.tvOS.Manifest-9.0.100,26.5.9004,ok,,0,,0,0,32508,32508
Microsoft.NETCore.Jit,2.0.8,ok,,0,,0,0,28531,28531
Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets.xml,2995,,1,1,51040,51040
Azure.Storage.Queues,12.27.1,ok,lib/net10.0/Azure.Storage.Queues.xml,455380,README.md,4,4,987336,65558
Microsoft.Azure.WebJobs.Extensions.Http,3.3.0,ok,,0,,1,0,91372,65558
System.Spatial,5.8.5,ok,lib/net40/System.Spatial.xml,366878,,50,5,894564,65558
Microsoft.Azure.Functions.Worker.ProjectTemplates,4.0.5590,ok,,0,,0,0,39769,39769
Nito.Disposables,2.5.0,ok,lib/net461/Nito.Disposables.xml,25187,README.md,5,5,80077,65558
Microsoft.Owin.Security,4.2.3,ok,lib/net45/Microsoft.Owin.Security.xml,30787,,1,1,77170,65558
Libuv,1.10.0,ok,,0,,0,0,1224699,65558
Microsoft.AspNetCore.Server.IISIntegration,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Server.IISIntegration.xml,6441,,1,1,73485,65558
Microsoft.AspNetCore.Mvc.WebApiCompatShim,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Mvc.WebApiCompatShim.xml,67377,,1,1,66209,65558
Microsoft.AspNetCore.Diagnostics,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Diagnostics.xml,52748,,1,1,123830,65558
ncrontab.signed,3.4.0,ok,lib/net35/NCrontab.Signed.xml,8747,README.md,3,3,94770,65558
AWSSDK.SimpleSystemsManagement,4.0.103.7,ok,lib/net472/AWSSDK.SimpleSystemsManagement.xml,4898720,,4,4,2544742,65558
Microsoft.VisualBasic,10.3.0,ok,ref/netcore50/Microsoft.VisualBasic.xml,78144,,6,21,452791,65558
Grpc.AspNetCore,2.83.0,ok,,0,README.md,0,0,37359,37359
Microsoft.Testing.Extensions.Telemetry,2.4.0,ok,lib/net8.0/Microsoft.Testing.Extensions.Telemetry.xml,7625,,42,3,515767,65558
Snappier,1.3.1,ok,lib/net472/Snappier.xml,34162,README.md,3,3,141449,65558
Microsoft.NET.Sdk.Android.Manifest-9.0.100,35.0.105,ok,,0,,0,0,55345,55345
Microsoft.AspNetCore.HttpOverrides,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.HttpOverrides.xml,9216,,1,1,47120,47120
Microsoft.NETCore.App.Runtime.linux-x64,10.0.11,ok,,0,,0,0,40081770,65558
Microsoft.Azure.KeyVault.WebKey,3.0.5,ok,,0,,4,0,122351,65558
Microsoft.Data.Edm,5.8.5,ok,lib/net40/Microsoft.Data.Edm.xml,655235,,50,5,2366621,65558
Microsoft.Azure.KeyVault,3.0.5,ok,,0,README.md,4,0,552947,65558
NSwag.Core,14.7.1,ok,lib/net462/NSwag.Core.xml,64643,,3,3,149844,65558
Microsoft.AspNetCore.App.Runtime.linux-x64,10.0.11,ok,,0,,0,0,12928716,65558
ClosedXML,0.105.1,ok,lib/netstandard2.0/ClosedXML.xml,760685,,2,2,2112576,65558
Microsoft.Data.OData,5.8.5,ok,lib/net40/Microsoft.Data.OData.xml,3726709,,50,5,7077481,65558
Google.Api.Gax.Rest,4.15.0,ok,lib/net462/Google.Api.Gax.Rest.xml,24725,,2,2,66641,65558
Microsoft.Identity.Web.TokenCache,4.14.2,ok,lib/net10.0/Microsoft.Identity.Web.TokenCache.xml,51544,README.md,6,6,225060,65558
Microsoft.NETCore.Windows.ApiSets,1.0.1,ok,,0,,0,0,17111,17111
Microsoft.OData.Core,9.0.0,ok,lib/net10.0/Microsoft.OData.Core.xml,4258764,docs/README.md,1,1,1169850,65558
Grpc.AspNetCore.Server.ClientFactory,2.83.0,ok,lib/net10.0/Grpc.AspNetCore.Server.ClientFactory.xml,4490,,3,3,112567,65558
Microsoft.Extensions.Features,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Features.xml,16245,,3,3,91732,65558
Microsoft.Azure.WebJobs.Host.Storage,5.0.2,ok,,0,README.md,1,0,79580,65558
Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-7.0.100,7.0.20,ok,,0,,0,0,52468,52468
Microsoft.Identity.Web.Certificate,4.14.2,ok,lib/net10.0/Microsoft.Identity.Web.Certificate.xml,23398,README.md,6,6,194357,65558
Microsoft.NET.Workload.Emscripten.net6.Manifest-7.0.100,7.0.20,ok,,0,,0,0,35475,35475
Microsoft.NET.Sdk.iOS.Manifest-7.0.100,16.4.7142,ok,,0,,0,0,30482,30482
System.Threading.RateLimiting,10.0.11,ok,lib/net10.0/System.Threading.RateLimiting.xml,59649,,5,5,252705,65558
Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100,16.4.7142,ok,,0,,0,0,30415,30415
Microsoft.NET.Workload.Mono.ToolChain.net6.Manifest-7.0.100,7.0.20,ok,,0,,0,0,52292,52292
Swashbuckle.AspNetCore.Newtonsoft,10.2.3,ok,lib/net10.0/Swashbuckle.AspNetCore.Newtonsoft.xml,4120,,3,3,79190,65558
Microsoft.NET.Sdk.Maui.Manifest-7.0.100,7.0.101,ok,,0,,0,0,35471,35471
Microsoft.NET.Sdk.macOS.Manifest-7.0.100,13.3.7142,ok,,0,,0,0,30372,30372
Microsoft.NET.Sdk.Android.Manifest-7.0.100,33.0.95,ok,,0,,0,0,35324,35324
ExcelNumberFormat,1.1.0,ok,lib/net20/ExcelNumberFormat.xml,6000,,3,3,60488,60488
runtime.unix.System.IO.FileSystem,4.3.0,ok,,0,,0,0,62460,62460
Microsoft.NET.Sdk.tvOS.Manifest-7.0.100,16.4.7142,ok,,0,,0,0,30378,30378
MassTransit,9.2.1,ok,lib/net10.0/MassTransit.xml,1020234,,5,5,10302057,65558
Microsoft.AspNetCore.Authentication.Cookies,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Authentication.Cookies.xml,36588,,1,1,57163,57163
Microsoft.NETCore.App.Host.linux-x64,10.0.11,ok,,0,,0,0,5563958,65558
Microsoft.NET.Workload.Emscripten.net7.Manifest-7.0.100,7.0.20,ok,,0,,0,0,35780,35780
Microsoft.DotNet.InternalAbstractions,1.0.0,ok,,0,,2,0,36684,36684
Microsoft.Identity.Web.Certificateless,4.14.2,ok,lib/net8.0/Microsoft.Identity.Web.Certificateless.xml,13479,README.md,2,2,69965,65558
WebGrease,1.6.0,ok,,0,,1,0,474536,65558
Amazon.Lambda.Core,3.3.0,ok,lib/net10.0/Amazon.Lambda.Core.xml,46771,README.md,3,3,79792,65558
Nito.AsyncEx.Tasks,5.1.2,ok,lib/net461/Nito.AsyncEx.Tasks.xml,68149,,3,3,82084,65558
Microsoft.IdentityModel.Xml,8.22.0,ok,lib/net10.0/Microsoft.IdentityModel.Xml.xml,120149,README.md,7,7,350182,65558
Hangfire.AspNetCore,1.8.25,ok,lib/net451/Hangfire.AspNetCore.xml,144,,5,5,185561,65558
Microsoft.IdentityModel.Tokens.Saml,8.22.0,ok,lib/net10.0/Microsoft.IdentityModel.Tokens.Saml.xml,288606,README.md,7,7,734078,65558
Antlr,3.5.0.2,ok,,0,,1,0,156224,65558
Refit,15.2.0,ok,lib/net10.0/Refit.xml,388266,README.md,10,10,2179708,65558
Microsoft.Owin.Host.SystemWeb,4.2.3,ok,lib/net45/Microsoft.Owin.Host.SystemWeb.xml,38435,,1,1,122225,65558
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100.Msi.x64,8.2.2,ok,,0,,0,0,370464,65558
EPPlus,8.7.0,ok,lib/net10.0/EPPlus.xml,3720193,readme.md,7,7,16805621,65558
System.ComponentModel.Composition,2010.2.11.1,ok,lib/net35/System.ComponentModel.Composition.xml,319549,,1,1,131503,65558
Microsoft.AspNetCore,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.xml,10401,,1,1,42064,42064
Microsoft.Build.Tasks.Core,18.9.6,ok,lib/net10.0/Microsoft.Build.Tasks.Core.xml,931027,README.md,5,5,2358682,65558
Microsoft.CodeAnalysis.Scripting.Common,5.9.0,ok,lib/net10.0/Microsoft.CodeAnalysis.Scripting.xml,81717,,28,2,523495,65558
Microsoft.Azure.WebJobs.Script.ExtensionsMetadataGenerator,4.0.1,ok,,0,,0,0,1491341,65558
OpenTelemetry.Instrumentation.Runtime,1.18.0,ok,lib/net10.0/OpenTelemetry.Instrumentation.Runtime.xml,11078,README.md,4,4,99986,65558
Azure.Extensions.AspNetCore.Configuration.Secrets,1.5.2,ok,lib/net10.0/Azure.Extensions.AspNetCore.Configuration.Secrets.xml,24846,README.md,3,3,98327,65558
Serilog.Exceptions,8.4.0,ok,lib/net461/Serilog.Exceptions.xml,41390,README.md,7,7,263734,65558
OpenTelemetry.Exporter.Console,1.18.0,ok,lib/net10.0/OpenTelemetry.Exporter.Console.xml,11441,README.md,5,5,158906,65558
Google.Api.Gax.Grpc,4.15.0,ok,lib/net462/Google.Api.Gax.Grpc.xml,289717,,2,2,388175,65558
Microsoft.IdentityModel.LoggingExtensions,8.22.0,ok,lib/net10.0/Microsoft.IdentityModel.LoggingExtensions.xml,1407,,3,3,60839,60839
starkbank-ecdsa,1.3.3,ok,,0,,5,0,70338,65558
System.Net.Http.WinHttpHandler,10.0.11,ok,lib/net10.0/System.Net.Http.WinHttpHandler.xml,11778,,5,5,417794,65558
MongoDB.Libmongocrypt,1.12.0,ok,,0,,3,0,48459864,65558
runtime.unix.System.Net.Primitives,4.3.1,ok,,0,,0,0,134217,65558
System.IO.UnmanagedMemoryStream,4.3.0,ok,ref/netstandard1.3/System.IO.UnmanagedMemoryStream.xml,48488,,4,10,127811,65558
prometheus-net.AspNetCore,8.2.1,ok,lib/net6.0/Prometheus.AspNetCore.xml,20278,README.md,1,1,56288,56288
runtime.unix.Microsoft.Win32.Primitives,4.3.0,ok,,0,,0,0,31929,31929
Microsoft.Extensions.Telemetry.Abstractions,10.9.0,ok,lib/net10.0/Microsoft.Extensions.Telemetry.Abstractions.xml,126420,README.md,5,5,339095,65558
System.IO.Pipes,4.3.0,ok,ref/netstandard1.3/System.IO.Pipes.xml,59561,,3,10,201041,65558
Microsoft.Extensions.Compliance.Abstractions,10.9.0,ok,lib/net10.0/Microsoft.Extensions.Compliance.Abstractions.xml,69878,README.md,4,4,152153,65558
NLog.Web.AspNetCore,6.2.0,ok,lib/net10.0/NLog.Web.AspNetCore.xml,131415,README.md,5,5,323397,65558
Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer,5.1.0,ok,lib/net5.0/Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer.xml,40502,README.md,3,3,169629,65558
Microsoft.AspNet.Web.Optimization,1.1.3,ok,lib/net40/system.web.optimization.xml,50585,,1,1,52874,52874
Microsoft.NETCore.App.Runtime.win-x64,10.0.11,ok,,0,,0,0,39895464,65558
Microsoft.Testing.Extensions.VSTestBridge,2.4.0,ok,lib/net8.0/Microsoft.Testing.Extensions.VSTestBridge.xml,60012,,42,3,725641,65558
Flurl,4.0.0,ok,lib/net461/Flurl.xml,55513,,3,3,87994,65558
Microsoft.CodeDom.Providers.DotNetCompilerPlatform,4.1.0,ok,lib/net472/Microsoft.CodeDom.Providers.DotNetCompilerPlatform.xml,8893,,1,1,8975240,65558
System.Threading.AccessControl,10.0.11,ok,lib/net10.0/System.Threading.AccessControl.xml,92495,,5,5,229751,65558
NuGet.Protocol,7.9.0,ok,lib/net472/NuGet.Protocol.xml,636631,README.md,2,2,972021,65558
Microsoft.AspNetCore.App.Runtime.win-x64,10.0.11,ok,,0,,0,0,12760129,65558
Azure.Messaging.EventGrid,5.0.0,ok,lib/net8.0/Azure.Messaging.EventGrid.xml,105699,README.md,2,2,254345,65558
Microsoft.Build.Locator,1.11.2,ok,,0,README.md,2,0,86814,65558
Quartz,4.0.0,ok,lib/net10.0/Quartz.xml,2657041,README.md,1,1,1221090,65558
Grpc.Auth,2.83.0,ok,lib/net462/Grpc.Auth.xml,4439,README.md,2,2,61231,61231
Microsoft.Extensions.Configuration.AzureAppConfiguration,8.6.0,ok,lib/netstandard2.0/Microsoft.Extensions.Configuration.AzureAppConfiguration.xml,98255,,2,2,226535,65558
Microsoft.AspNetCore.WebSockets,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.WebSockets.xml,1494,,1,1,43028,43028
MediatR.Extensions.Microsoft.DependencyInjection,11.1.0,ok,,0,,1,0,29946,29946
Cake.Tool,6.2.0,ok,,0,,0,0,34691662,65558
Azure.Data.AppConfiguration,1.11.1,ok,lib/net10.0/Azure.Data.AppConfiguration.xml,287461,README.md,3,3,529854,65558
Microsoft.AspNetCore.Mvc.Analyzers,2.3.0,ok,,0,,0,0,38833,38833
Polly.Contrib.WaitAndRetry,1.1.1,ok,lib/net461/Polly.Contrib.WaitAndRetry.xml,7138,,4,4,52358,52358
Microsoft.FeatureManagement,4.7.0,ok,lib/net10.0/Microsoft.FeatureManagement.xml,120888,,4,4,326155,65558
Microsoft.Identity.Web.Diagnostics,4.14.2,ok,lib/net10.0/Microsoft.Identity.Web.Diagnostics.xml,12322,README.md,6,6,123636,65558
Nito.Collections.Deque,1.2.1,ok,lib/net461/Nito.Collections.Deque.xml,16899,README.md,4,4,56845,56845
Microsoft.Extensions.Options.DataAnnotations,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Options.DataAnnotations.xml,2710,,6,6,147209,65558
Nito.AsyncEx.Context,5.1.2,ok,lib/net461/Nito.AsyncEx.Context.xml,20913,,3,3,48885,48885
AspNetCore.HealthChecks.UI.Client,9.0.0,ok,lib/net8.0/HealthChecks.UI.Client.xml,803,,1,1,34857,34857
System.IO.MemoryMappedFiles,4.3.0,ok,ref/netstandard1.3/System.IO.MemoryMappedFiles.xml,42459,,3,10,196993,65558
Microsoft.Identity.Web.TokenAcquisition,4.14.2,ok,lib/net10.0/Microsoft.Identity.Web.TokenAcquisition.xml,204990,README.md,6,6,749790,65558
System.Resources.Extensions,10.0.11,ok,lib/net10.0/System.Resources.Extensions.xml,10860,,5,5,288131,65558
Humanizer,3.0.10,ok,,0,,0,0,35728,35728
Microsoft.Identity.Abstractions,12.6.1,ok,lib/net10.0/Microsoft.Identity.Abstractions.xml,280366,README.md,6,6,352729,65558
Microsoft.NETCore.App.Host.win-x64,10.0.11,ok,,0,,0,0,5790353,65558
Nito.AsyncEx.Coordination,5.1.2,ok,lib/net461/Nito.AsyncEx.Coordination.xml,82696,,3,3,97039,65558
Humanizer.Core.uk,3.0.10,ok,,0,,4,0,87805,65558
System.Reflection.MetadataLoadContext,10.0.11,ok,lib/net10.0/System.Reflection.MetadataLoadContext.xml,7823,,5,5,620388,65558
NUnit.Analyzers,4.14.0,ok,,0,docs/README.md,0,0,155387,65558
AspNetCore.HealthChecks.UI.Core,9.0.0,ok,lib/net8.0/HealthChecks.UI.Core.xml,801,,1,1,29870,29870
SshNet.Security.Cryptography,1.3.0,ok,lib/net20/SshNet.Security.Cryptography.xml,62015,,12,12,211911,65558
Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation,10.0.11,ok,lib/net10.0/Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation.xml,13836,,1,1,78214,65558
Humanizer.Core.fr,3.0.10,ok,,0,,4,0,86612,65558
Microsoft.NETCore.DotNetHost,8.0.30,ok,,0,,0,0,47304,47304
runtime.unix.System.Console,4.3.1,ok,,0,,0,0,62430,62430
Serilog.Sinks.ApplicationInsights,5.0.1,ok,lib/net462/Serilog.Sinks.ApplicationInsights.xml,22649,README.md,3,3,85311,65558
MassTransit.Abstractions,9.2.1,ok,lib/net10.0/MassTransit.Abstractions.xml,732429,,5,5,2080738,65558
Humanizer.Core.es,3.0.10,ok,,0,,4,0,93652,65558
Humanizer.Core.ru,3.0.10,ok,,0,,4,0,95010,65558
EO.WebBrowser,26.2.42,ok,lib/EO.Base.xml,423277,,3,3,149283086,65558
Microsoft.AspNetCore.Http.Connections.Client,10.0.11,ok,lib/net10.0/Microsoft.AspNetCore.Http.Connections.Client.xml,25782,,4,4,251905,65558
Polly.Extensions,8.7.0,ok,lib/net462/Polly.Extensions.xml,57152,,5,5,287458,65558
Microsoft.Azure.Functions.Worker.ItemTemplates,4.0.5590,ok,,0,,0,0,391766,65558
Humanizer.Core.pt,3.0.10,ok,,0,,4,0,93527,65558
Hangfire.SqlServer,1.8.25,ok,lib/net451/Hangfire.SqlServer.xml,9879,,3,3,638572,65558
Humanizer.Core.nl,3.0.10,ok,,0,,4,0,83283,65558
Humanizer.Core.zh-Hans,3.0.10,ok,,0,,4,0,83243,65558
Humanizer.Core.sv,3.0.10,ok,,0,,4,0,83291,65558
Humanizer.Core.tr,3.0.10,ok,,0,,4,0,83232,65558
Humanizer.Core.zh-CN,3.0.10,ok,,0,,4,0,83223,65558
Humanizer.Core.it,3.0.10,ok,,0,,4,0,83957,65558
Humanizer.Core.cs,3.0.10,ok,,0,,4,0,84980,65558
Microsoft.Azure.ServiceBus,5.2.0,ok,lib/netstandard2.0/Microsoft.Azure.ServiceBus.xml,419401,README.md,1,1,236130,65558
Humanizer.Core.de,3.0.10,ok,,0,,4,0,87937,65558
Microsoft.DiaSymReader,2.2.11,ok,lib/net10.0/Microsoft.DiaSymReader.xml,54833,,2,2,369838,65558
Humanizer.Core.zh-Hant,3.0.10,ok,,0,,4,0,83246,65558
Humanizer.Core.id,3.0.10,ok,,0,,4,0,83312,65558
Humanizer.Core.el,3.0.10,ok,,0,,4,0,83932,65558
Humanizer.Core.ar,3.0.10,ok,,0,,4,0,87338,65558
Serilog.Expressions,5.0.0,ok,lib/net462/Serilog.Expressions.xml,99836,README.md,5,5,512681,65558
Humanizer.Core.ja,3.0.10,ok,,0,,4,0,83162,65558
Humanizer.Core.ro,3.0.10,ok,,0,,4,0,83318,65558
Humanizer.Core.da,3.0.10,ok,,0,,4,0,85334,65558
Humanizer.Core.he,3.0.10,ok,,0,,4,0,86711,65558
Humanizer.Core.hr,3.0.10,ok,,0,,4,0,84866,65558
Humanizer.Core.pl,3.0.10,ok,,0,,4,0,85073,65558
Serilog.Sinks.Seq,9.1.0,ok,lib/net10.0/Serilog.Sinks.Seq.xml,16701,README.md,3,3,108795,65558
Humanizer.Core.fa,3.0.10,ok,,0,,4,0,83369,65558
Humanizer.Core.nb,3.0.10,ok,,0,,4,0,83996,65558
Humanizer.Core.bg,3.0.10,ok,,0,,4,0,84226,65558
Humanizer.Core.sk,3.0.10,ok,,0,,4,0,85121,65558
Microsoft.CodeAnalysis.VisualBasic.Workspaces,5.9.0,ok,lib/net10.0/Microsoft.CodeAnalysis.VisualBasic.Workspaces.xml,43853,,28,2,1297884,65558
Humanizer.Core.uz-Latn-UZ,3.0.10,ok,,0,,4,0,83454,65558
Humanizer.Core.hu,3.0.10,ok,,0,,4,0,92506,65558
Humanizer.Core.nb-NO,2.14.1,ok,,0,,3,0,55548,55548
Humanizer.Core.uz-Cyrl-UZ,3.0.10,ok,,0,,4,0,83803,65558
Humanizer.Core.sr,3.0.10,ok,,0,,4,0,85182,65558
Humanizer.Core.sr-Latn,3.0.10,ok,,0,,4,0,84915,65558
Humanizer.Core.sl,3.0.10,ok,,0,,4,0,86820,65558
Humanizer.Core.vi,3.0.10,ok,,0,,4,0,83370,65558
Humanizer.Core.lv,3.0.10,ok,,0,,4,0,88528,65558
Microsoft.Extensions.DependencyInjection.AutoActivation,10.9.0,ok,lib/net10.0/Microsoft.Extensions.DependencyInjection.AutoActivation.xml,51349,README.md,5,5,141684,65558
Humanizer.Core.af,3.0.10,ok,,0,,4,0,83234,65558
NSwag.Annotations,14.7.1,ok,lib/net462/NSwag.Annotations.xml,18556,,2,2,29728,29728
runtime.unix.System.Net.Sockets,4.3.0,ok,,0,,0,0,105673,65558
System.Data.OleDb,10.0.11,ok,lib/net10.0/System.Data.OleDb.xml,138429,,5,5,812323,65558
Humanizer.Core.mt,3.0.10,ok,,0,,4,0,92257,65558
Humanizer.Core.fi-FI,2.14.1,ok,,0,,3,0,53077,53077
Asp.Versioning.Abstractions,10.2.1,ok,lib/net10.0/Asp.Versioning.Abstractions.xml,187622,README.md,3,3,263846,65558
Asp.Versioning.Http,10.2.3,ok,lib/net10.0/Asp.Versioning.Http.xml,158006,README.md,1,1,185186,65558
Humanizer.Core.fr-BE,2.14.1,ok,,0,,3,0,55204,55204
K4os.Compression.LZ4,1.3.8,ok,lib/net462/K4os.Compression.LZ4.xml,103938,,5,5,206853,65558
Humanizer.Core.ms-MY,2.14.1,ok,,0,,2,0,49425,49425
Humanizer.Core.bn-BD,2.14.1,ok,,0,,3,0,55253,55253
Humanizer.Core.hy,3.0.10,ok,,0,,4,0,83550,65558
protobuf-net.Core,3.4.21,ok,lib/net462/protobuf-net.Core.xml,285118,readme.md,4,4,1289976,65558
Microsoft.Extensions.Http.Diagnostics,10.9.0,ok,lib/net10.0/Microsoft.Extensions.Http.Diagnostics.xml,89053,README.md,5,5,356076,65558
Microsoft.Extensions.Telemetry,10.9.0,ok,lib/net10.0/Microsoft.Extensions.Telemetry.xml,140273,README.md,5,5,432501,65558
System.IO.Abstractions,22.2.0,ok,lib/net10.0/System.IO.Abstractions.xml,703,README.md,7,7,47644,47644
Microsoft.NET.Workloads.10.0.300,10.303.1,ok,,0,README.md,0,0,30297,30297
Asp.Versioning.Mvc,10.2.1,ok,lib/net10.0/Asp.Versioning.Mvc.xml,94591,README.md,1,1,83191,65558
EmptyFiles,8.18.2,ok,lib/net10.0/EmptyFiles.xml,54449,,9,9,1246876,65558
Microsoft.Extensions.AmbientMetadata.Application,10.9.0,ok,lib/net10.0/Microsoft.Extensions.AmbientMetadata.Application.xml,41657,README.md,5,5,148435,65558
MySql.Data,26.7.0,ok,lib/net10.0/MySql.Data.xml,1336648,README.md,7,7,4925030,65558
Microsoft.Net.Http,2.2.29,ok,lib/sl4-windowsphone71/System.Net.Http.xml,115425,,26,31,670367,65558
AngleSharp.Css,1.1.0,ok,lib/net10.0/AngleSharp.Css.xml,904335,README.md,5,5,1499109,65558
Humanizer.Core.az,3.0.10,ok,,0,,4,0,83320,65558
WebActivatorEx,2.2.0,ok,,0,,1,0,17458,17458
Microsoft.Extensions.Configuration.Xml,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Configuration.Xml.xml,13598,,5,5,159842,65558
runtime.win.System.Runtime.Extensions,4.3.1,ok,,0,,0,0,134127,65558
Microsoft.Extensions.Resilience,10.9.0,ok,lib/net10.0/Microsoft.Extensions.Resilience.xml,34067,README.md,5,5,142669,65558
System.Reactive.Linq,6.1.0,ok,lib/net472/System.Reactive.Linq.xml,145,readme.md,3,3,70962,65558
Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore.xml,3805,,1,1,52613,52613
Microsoft.Extensions.Diagnostics.ExceptionSummarization,10.9.0,ok,lib/net10.0/Microsoft.Extensions.Diagnostics.ExceptionSummarization.xml,44883,README.md,5,5,145755,65558
runtime.win.System.Diagnostics.Debug,4.3.0,ok,,0,,0,0,66556,65558
Microsoft.Kiota.Abstractions,2.1.1,ok,lib/net10.0/Microsoft.Kiota.Abstractions.xml,153237,README.md,4,4,266924,65558
Microsoft.AspNetCore.SpaServices.Extensions,10.0.11,ok,,0,,1,0,69774,65558
Azure.Data.Tables,12.12.0,ok,lib/net10.0/Azure.Data.Tables.xml,396013,README.md,3,3,661475,65558
Microsoft.Azure.Functions.Analyzers,1.0.0,ok,,0,,0,0,41208,41208
JsonSubTypes,2.1.0,ok,,0,README.md,7,0,94798,65558
Humanizer.Core.ku,3.0.10,ok,,0,,4,0,89783,65558
NSwag.Generation,14.7.1,ok,lib/net462/NSwag.Generation.xml,33347,,3,3,95512,65558
Microsoft.WindowsDesktop.App.Ref,10.0.11,ok,ref/net10.0/Accessibility.xml,46561,,50,149,7716307,65558
Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore,10.0.11,ok,lib/net10.0/Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore.xml,36475,,1,1,76067,65558
Microsoft.NETFramework.ReferenceAssemblies,1.0.3,ok,,0,,0,0,20961,20961
MassTransit.RabbitMQ,9.2.1,ok,lib/net10.0/MassTransit.RabbitMqTransport.xml,94073,,5,5,1111514,65558
Microsoft.AspNetCore.Identity,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Identity.xml,60913,,1,1,71290,65558
Microsoft.Extensions.Http.Resilience,10.9.0,ok,lib/net10.0/Microsoft.Extensions.Http.Resilience.xml,121838,README.md,5,5,384649,65558
Microsoft.NET.Workloads.10.0.100,10.111.1,ok,,0,README.md,0,0,30297,30297
Microsoft.Azure.Storage.Common,11.2.3,ok,lib/net452/Microsoft.Azure.Storage.Common.xml,468051,,3,3,588378,65558
Microsoft.Azure.WebJobs.ItemTemplates,4.0.5590,ok,,0,,0,0,447400,65558
NEST,7.17.5,ok,lib/net461/Nest.xml,3501561,,2,2,4710953,65558
Humanizer.Core.th-TH,2.14.1,ok,,0,,2,0,49735,49735
Microsoft.Azure.WebJobs.ProjectTemplates,4.0.5590,ok,,0,,0,0,37458,37458
Pomelo.EntityFrameworkCore.MySql,9.0.0,ok,lib/net8.0/Pomelo.EntityFrameworkCore.MySql.xml,471595,README.md,1,1,269426,65558
Modernizr,2.8.3,ok,,0,,0,0,30599,30599
DocumentFormat.OpenXml.Framework,3.5.1,ok,lib/net10.0/DocumentFormat.OpenXml.Framework.xml,546429,README.md,7,7,1683829,65558
Fractions,8.3.2,ok,lib/net8.0/Fractions.xml,119369,Readme.md,3,3,133527,65558
System.Data.Odbc,10.0.11,ok,lib/net10.0/System.Data.Odbc.xml,105682,,5,5,1011606,65558
Serilog.Formatting.Elasticsearch,10.0.0,ok,lib/netstandard2.0/Serilog.Formatting.Elasticsearch.xml,16760,,1,1,44152,44152
Polly.RateLimiting,8.7.0,ok,lib/net462/Polly.RateLimiting.xml,40987,,5,5,193602,65558
Microsoft.Owin.Security.OAuth,4.2.3,ok,lib/net45/Microsoft.Owin.Security.OAuth.xml,110983,,1,1,88742,65558
System.DirectoryServices.AccountManagement,10.0.11,ok,lib/net10.0/System.DirectoryServices.AccountManagement.xml,188754,,4,4,599126,65558
NSwag.AspNetCore,14.7.1,ok,lib/net10.0/NSwag.AspNetCore.xml,26188,,5,5,3163015,65558
Microsoft.AspNetCore.SignalR.Client,10.0.11,ok,lib/net10.0/Microsoft.AspNetCore.SignalR.Client.xml,10922,,3,3,82500,65558
Microsoft.Data.Services.Client,5.8.5,ok,lib/net40/Microsoft.Data.Services.Client.xml,1474880,,40,4,2592388,65558
bootstrap,5.3.8,ok,,0,,0,0,3071200,65558
Humanizer.Core.ko-KR,2.14.1,ok,,0,,2,0,49289,49289
Microsoft.TestPlatform,18.9.0,ok,,0,README.md,0,0,50330059,148078
Microsoft.VisualStudio.Threading.Analyzers,18.7.23,ok,,0,README.md,0,0,564221,65558
Serilog.Sinks.RollingFile,3.3.0,ok,lib/net45/Serilog.Sinks.RollingFile.xml,8602,,2,2,32866,32866
Humanizer.Core.is,3.0.10,ok,,0,,4,0,90678,65558
runtime.win.System.IO.FileSystem,4.3.0,ok,,0,,0,0,145778,65558
Microsoft.NET.ILLink.Tasks,10.0.11,ok,,0,,0,0,1533276,65558
