package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
DevExpress.Xpo,26.1.4,96325822.0,hand-written site; xml docs; homepage,2,https://www.devexpress.com/xpo,,,,,lib/net462/DevExpress.Xpo.v26.1.xml,https://github.com/devexpress/xpo,,,,https://www.devexpress.com/xpo,,https://www.nuget.org/packages/DevExpress.Xpo,
Microsoft.NET.Sdk.Android.Manifest-9.0.100.Msi.x64,35.0.105,96325530.0,hand-written site; homepage,2,https://dot.net/,,,,,,,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.NET.Sdk.Android.Manifest-9.0.100.Msi.x64,
Microsoft.AspNet.WebApi.Owin,5.3.0,96294881.0,hand-written site; xml docs; homepage,2,https://www.asp.net/web-api,,,,,lib/net45/System.Web.Http.Owin.xml,https://github.com/aspnet/aspnetwebstack,,,,https://www.asp.net/web-api,,https://www.nuget.org/packages/Microsoft.AspNet.WebApi.Owin,
Microsoft.NET.Sdk.iOS.Manifest-9.0.100.Msi.x64,26.5.9004,96285491.0,hand-written site; homepage,2,https://dot.net/,,,,,,,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.NET.Sdk.iOS.Manifest-9.0.100.Msi.x64,
Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100.Msi.x64,26.5.9004,96249822.0,hand-written site; homepage,2,https://dot.net/,,,,,,,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100.Msi.x64,
Microsoft.NET.Sdk.macOS.Manifest-9.0.100.Msi.x64,26.5.9004,96200219.0,hand-written site; homepage,2,https://dot.net/,,,,,,,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.NET.Sdk.macOS.Manifest-9.0.100.Msi.x64,
Microsoft.FeatureManagement.AspNetCore,4.7.0,96112883.0,xml docs; homepage,1,,,,,,lib/net10.0/Microsoft.FeatureManagement.AspNetCore.xml,https://github.com/microsoft/featuremanagement-dotnet,,,,https://github.com/microsoft/FeatureManagement-Dotnet,,https://www.nuget.org/packages/Microsoft.FeatureManagement.AspNetCore,
Microsoft.Azure.Functions.Worker.Sdk.Generators,1.4.0,96065204.0,homepage,1,,,,,,,https://github.com/azure/azure-functions-dotnet-worker,,,,https://github.com/Azure/azure-functions-dotnet-worker,,https://www.nuget.org/packages/Microsoft.Azure.Functions.Worker.Sdk.Generators,
Microsoft.NET.Sdk.tvOS.Manifest-9.0.100.Msi.x64,26.5.9004,96052826.0,hand-written site; homepage,2,https://dot.net/,,,,,,,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.NET.Sdk.tvOS.Manifest-9.0.100.Msi.x64,
System.Reactive.Interfaces,6.1.0,95976785.0,readme; xml docs; homepage,1,,,readme.md,,,lib/net472/System.Reactive.Interfaces.xml,https://github.com/dotnet/reactive,,,,https://github.com/dotnet/reactive,,https://www.nuget.org/packages/System.Reactive.Interfaces,
Microsoft.NET.Workload.Mono.ToolChain.Current.Manifest-9.0.100.Msi.x64,9.0.19,95721864.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.NET.Workload.Mono.ToolChain.Current.Manifest-9.0.100.Msi.x64,
Microsoft.NET.Sdk.Maui.Manifest-9.0.100.Msi.x64,9.0.120,95676804.0,readme; homepage,1,,,README.md,,,,https://github.com/dotnet/maui,,,,https://github.com/dotnet/maui,,https://www.nuget.org/packages/Microsoft.NET.Sdk.Maui.Manifest-9.0.100.Msi.x64,
Microsoft.NET.Workload.Emscripten.Current.Manifest-9.0.100.Msi.x64,9.0.19,95644128.0,homepage,1,,,,,,,https://github.com/dotnet/emsdk,,,,https://github.com/dotnet/emsdk,,https://www.nuget.org/packages/Microsoft.NET.Workload.Emscripten.Current.Manifest-9.0.100.Msi.x64,
Microsoft.NET.Workload.Emscripten.net6.Manifest-9.0.100.Msi.x64,9.0.19,95521206.0,homepage,1,,,,,,,https://github.com/dotnet/emsdk,,,,https://github.com/dotnet/emsdk,,https://www.nuget.org/packages/Microsoft.NET.Workload.Emscripten.net6.Manifest-9.0.100.Msi.x64,
Microsoft.NET.Workload.Emscripten.net7.Manifest-9.0.100.Msi.x64,9.0.19,95514220.0,homepage,1,,,,,,,https://github.com/dotnet/emsdk,,,,https://github.com/dotnet/emsdk,,https://www.nuget.org/packages/Microsoft.NET.Workload.Emscripten.net7.Manifest-9.0.100.Msi.x64,
LaunchDarkly.EventSource,5.3.2,95400031.0,xml docs; homepage,1,,,,,,lib/net462/LaunchDarkly.EventSource.xml,https://github.com/launchdarkly/dotnet-eventsource,,,,https://github.com/launchdarkly/dotnet-eventsource,,https://www.nuget.org/packages/LaunchDarkly.EventSource,
Microsoft.Windows.Compatibility,10.0.11,95352016.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/windowsdesktop,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Windows.Compatibility,
Microsoft.NET.Workload.Emscripten.net8.Manifest-9.0.100.Msi.x64,9.0.19,95343374.0,homepage,1,,,,,,,https://github.com/dotnet/emsdk,,,,https://github.com/dotnet/emsdk,,https://www.nuget.org/packages/Microsoft.NET.Workload.Emscripten.net8.Manifest-9.0.100.Msi.x64,
Newtonsoft.Json.Schema,4.0.1,95273587.0,hand-written site; readme; xml docs; homepage,2,https://www.newtonsoft.com/jsonschema,,README.md,,,lib/net35/Newtonsoft.Json.Schema.xml,https://github.com/jamesnk/newtonsoft.json.schema,,,,https://www.newtonsoft.com/jsonschema,,https://www.nuget.org/packages/Newtonsoft.Json.Schema,
Microsoft.NET.Workload.Mono.ToolChain.net6.Manifest-9.0.100.Msi.x64,9.0.19,95193987.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.NET.Workload.Mono.ToolChain.net6.Manifest-9.0.100.Msi.x64,
SkiaSharp.NativeAssets.Linux.NoDependencies,4.151.2,95174589.0,hand-written site; readme; homepage,2,https://go.microsoft.com/fwlink/?linkid=868515,,README.md,,,,,,,,https://go.microsoft.com/fwlink/?linkid=868515,,https://www.nuget.org/packages/SkiaSharp.NativeAssets.Linux.NoDependencies,
Microsoft.WindowsAzure.ConfigurationManager,3.2.3,95167866.0,hand-written site; xml docs; homepage,2,https://go.microsoft.com/fwlink/?linkid=252450,,,,,lib/net40/Microsoft.WindowsAzure.Configuration.xml,,,,,https://go.microsoft.com/fwlink/?linkid=252450,,https://www.nuget.org/packages/Microsoft.WindowsAzure.ConfigurationManager,
Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-9.0.100.Msi.x64,9.0.19,95145811.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-9.0.100.Msi.x64,
SQLitePCLRaw.provider.dynamic_cdecl,3.0.5,95109284.0,,0,,,,,,,https://github.com/ericsink/sqlitepcl.raw,,,,,,https://www.nuget.org/packages/SQLitePCLRaw.provider.dynamic_cdecl,
