package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct,documentation_location,xml_doc_file,readme,obtainable_by_download,download_url,size_kb,handwritten_site_status,github_docs_folder_status,github_wiki_status,github_pages_status,homepage_status,has_working_link
Azure.ResourceManager.Batch,1.7.0,740152.0,readme; xml docs; homepage,1,,,README.md,,,lib/net10.0/Azure.ResourceManager.Batch.xml,https://github.com/azure/azure-sdk-for-net,,,,https://github.com/Azure/azure-sdk-for-net/blob/Azure.ResourceManager.Batch_1.7.0/sdk/batch/Azure.ResourceManager.Batch/README.md,,https://www.nuget.org/packages/Azure.ResourceManager.Batch,,in the package,lib/net10.0/Azure.ResourceManager.Batch.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/azure.resourcemanager.batch/1.7.0/azure.resourcemanager.batch.1.7.0.nupkg,1547.8,,,,,ok,Yes
FSharp.Control.TaskSeq,1.1.1,736174.0,hand-written site; xml docs; homepage,2,https://fsprojects.github.io/FSharp.Control.TaskSeq/,,,,,lib/netstandard2.1/FSharp.Control.TaskSeq.xml,https://github.com/fsprojects/fsharp.control.taskseq,,,,https://fsprojects.github.io/FSharp.Control.TaskSeq/,,https://www.nuget.org/packages/FSharp.Control.TaskSeq,,in the package,lib/netstandard2.1/FSharp.Control.TaskSeq.xml,,Yes,https://api.nuget.org/v3-flatcontainer/fsharp.control.taskseq/1.1.1/fsharp.control.taskseq.1.1.1.nupkg,152.9,ok,,,,ok,Yes
CsCheck,4.8.0,725891.0,readme; xml docs; homepage,1,,,README.md,,,lib/net8.0/CsCheck.xml,https://github.com/anthonylloyd/cscheck,,,,https://github.com/AnthonyLloyd/CsCheck,,https://www.nuget.org/packages/CsCheck,,in the package,lib/net8.0/CsCheck.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/cscheck/4.8.0/cscheck.4.8.0.nupkg,256.9,,,,,ok,Yes
MahApps.Metro.IconPacks.Modern,6.2.1,725655.0,xml docs; homepage,1,,,,,,lib/net462/MahApps.Metro.IconPacks.Modern.xml,https://github.com/mahapps/mahapps.metro.iconpacks,,,,https://github.com/MahApps/MahApps.Metro.IconPacks,,https://www.nuget.org/packages/MahApps.Metro.IconPacks.Modern,,in the package,lib/net462/MahApps.Metro.IconPacks.Modern.xml,,Yes,https://api.nuget.org/v3-flatcontainer/mahapps.metro.iconpacks.modern/6.2.1/mahapps.metro.iconpacks.modern.6.2.1.nupkg,2.4,,,,,ok,Yes
Ardalis.SharedKernel,5.0.0,720996.0,xml docs; homepage,1,,,,,,lib/net10.0/Ardalis.SharedKernel.xml,https://github.com/ardalis/ardalis.sharedkernel,,,,https://github.com/ardalis/Ardalis.SharedKernel,,https://www.nuget.org/packages/Ardalis.SharedKernel,,in the package,lib/net10.0/Ardalis.SharedKernel.xml,,Yes,https://api.nuget.org/v3-flatcontainer/ardalis.sharedkernel/5.0.0/ardalis.sharedkernel.5.0.0.nupkg,3.5,,,,,ok,Yes
Microsoft.Azure.Management.MarketplaceOrdering,1.0.1,715621.0,xml docs; homepage,1,,,,,,lib/net452/Microsoft.Azure.Management.MarketplaceOrdering.xml,https://github.com/azure/azure-sdk-for-net,,,,https://github.com/Azure/azure-sdk-for-net,,https://www.nuget.org/packages/Microsoft.Azure.Management.MarketplaceOrdering,,in the package,lib/net452/Microsoft.Azure.Management.MarketplaceOrdering.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.azure.management.marketplaceordering/1.0.1/microsoft.azure.management.marketplaceordering.1.0.1.nupkg,48.1,,,,,ok,Yes
BencodeNET,5.0.0,714349.0,xml docs; homepage,1,,,,,,lib/net6.0/BencodeNET.xml,https://github.com/krusen/bencodenet,,,,https://github.com/Krusen/BencodeNET,,https://www.nuget.org/packages/BencodeNET,,in the package,lib/net6.0/BencodeNET.xml,,Yes,https://api.nuget.org/v3-flatcontainer/bencodenet/5.0.0/bencodenet.5.0.0.nupkg,99.1,,,,,ok,Yes
GrpcDotNetNamedPipes,3.1.0,708034.0,readme; homepage,1,,,README.md,,,,https://github.com/cyanfish/grpc-dotnet-namedpipes,,,,https://github.com/cyanfish/grpc-dotnet-namedpipes,,https://www.nuget.org/packages/GrpcDotNetNamedPipes,,in the package,,README.md,Yes,https://api.nuget.org/v3-flatcontainer/grpcdotnetnamedpipes/3.1.0/grpcdotnetnamedpipes.3.1.0.nupkg,0.0,,,,,ok,Yes
jQuery.Color,2.1.2,699564.0,hand-written site; homepage,2,http://plugins.jquery.com/project/color/,,,,,,,,,,http://plugins.jquery.com/project/color/,,https://www.nuget.org/packages/jQuery.Color,,not in the package,,,No,,0.0,not_found,,,,not_found,No
Pfim,0.11.4,696659.0,hand-written site; homepage,2,https://nickbabcock.github.io/Pfim/,,,,,,https://github.com/nickbabcock/pfim,,,,https://nickbabcock.github.io/Pfim/,,https://www.nuget.org/packages/Pfim,,not in the package,,,No,,0.0,ok,,,,ok,Yes
